Iteration	Posterior	Likelihood	Prior	biome_rates[1]	biome_rates[2]	biome_rates[3]	biome_rates[4]	birth	br_base	br_CW	br_TW	br_WC	br_WT	death	diversification	dr_base	endAge	rate_biome	rf_simplex[1]	rf_simplex[2]	rf_simplex[3]	rf_simplex[4]	rf_simplex[5]	rf_simplex[6]	rf_simplex[7]	rf_simplex[8]	rf_simplex[9]	rf_simplex[10]	rf_simplex[11]	rf_simplex[12]	rf_simplex[13]	rf_simplex[14]	rf_simplex[15]	rf_simplex[16]	rf_simplex[17]	rf_simplex[18]	root_age	tree_length	turnover	w_adj[1]	w_adj[2]	w_adj[3]	w_biome	w_graph[1]	w_graph[2]	w_graph[3]	w_land	w_not_biome	w_null	y_subdominant
0	-1041.74	-186.145	-855.599	1	1	1	1	0.04	0.75	1	1	1	1	0.03	0.01	0.25	69.38825	0.03	0.10234	0.0869161	0.0832722	0.0872243	0.101831	0.124346	0.0313451	0.0811343	0.0800742	0.0817743	0.0211306	0.0224432	0.0181128	0.0132694	0.0131351	0.0133591	0.0184155	0.0198772	69.38825	1758.837	0.75	0	0.1	1	0.8421053	0.0526316	0.105263	0.842105	0.1052632	0.1578947	0.05263158	0.1
50	-986.374	-176.284	-810.09	0.372391	0.670431	0.601904	0.852406	0.1023176	0.9047067	0.852406	0.6019039	0.6704307	0.3723909	0.05322885	0.04908875	0.09529335	69.38825	0.06922687	0.0941431	0.0878575	0.0874994	0.0880267	0.095473	0.0971324	0.0419047	0.0528496	0.0527816	0.0528517	0.0393093	0.0391041	0.0298473	0.0268351	0.0268099	0.0268558	0.0302885	0.0304302	69.38825	1758.837	0.5202316	0	0.13561	1	0.363162	0.145837	0.491001	0.363162	0.4910013	0.636838	0.1458368	0.1356105
100	-988.279	-178.419	-809.86	0.917922	0.800169	0.453102	0.240207	0.1014632	0.8250795	0.2402075	0.4531022	0.8001695	0.9179216	0.05618034	0.04528285	0.1749205	69.38825	0.03721326	0.0243715	0.0233697	0.0233858	0.0235589	0.0266603	0.0269922	0.042664	0.0457671	0.0458738	0.0457551	0.0353892	0.0351165	0.099693	0.0974607	0.0975187	0.0977496	0.104116	0.104558	69.38825	1758.837	0.5537017	0	0.643973	1	0.3955559	0.324018	0.280426	0.395556	0.2804262	0.6044441	0.3240179	0.6439732
150	-987.315	-176.763	-810.552	0.235983	0.635228	0.304571	0.832619	0.09562352	0.9147428	0.8326191	0.3045714	0.6352279	0.2359827	0.04388357	0.05173994	0.08525718	69.38825	0.09423162	0.090873	0.0873763	0.0876745	0.0894617	0.103206	0.107259	0.0571168	0.0629454	0.0634144	0.0639475	0.0348673	0.0353354	0.018153	0.0167197	0.0168183	0.0169438	0.023816	0.0240727	69.38825	1758.837	0.4589203	0	0.730991	1	0.6636766	0.310602	0.0257214	0.663677	0.02572137	0.3363234	0.310602	0.7309906
200	-992.638	-181.899	-810.739	0.49123	0.181079	0.407731	0.656727	0.101639	0.8539442	0.6567268	0.4077309	0.1810792	0.4912297	0.05612251	0.04551645	0.1460558	69.38825	0.09280928	0.0811032	0.0746535	0.0747439	0.0768667	0.0929767	0.102273	0.0742486	0.0851008	0.0857559	0.0857168	0.0509407	0.0511957	0.010553	0.00926443	0.00931209	0.00942032	0.0126766	0.0131979	69.38825	1758.837	0.5521752	0	0.553536	1	0.6189098	0.0910159	0.290074	0.61891	0.2900743	0.3810902	0.09101593	0.5535365
250	-990.454	-178.876	-811.578	0.334697	0.949264	0.777904	0.989977	0.1393685	0.8557559	0.9899768	0.7779044	0.9492641	0.3346972	0.09955002	0.03981848	0.1442441	69.38825	0.07392321	0.107359	0.10389	0.103982	0.10494	0.113411	0.11592	0.0370498	0.0427857	0.0429894	0.0429452	0.0266439	0.0264637	0.021841	0.0203775	0.020445	0.0205049	0.0241689	0.0242826	69.38825	1758.837	0.7142936	0	0.583526	1	0.513735	0.221742	0.264523	0.513735	0.2645227	0.486265	0.2217423	0.583526
300	-990.407	-179.356	-811.051	0.73904	0.40601	0.856336	0.479733	0.1121099	0.7689411	0.4797329	0.8563355	0.40601	0.7390403	0.07635464	0.03575527	0.2310589	69.38825	0.04238819	0.0807205	0.0747722	0.0744547	0.0750944	0.0831302	0.084547	0.0507186	0.0604202	0.0604352	0.060517	0.0468409	0.0465904	0.03446	0.0321308	0.0321334	0.0321969	0.0353084	0.0355292	69.38825	1758.837	0.6810695	0	0.222518	1	0.4145711	0.319401	0.266028	0.414571	0.2660281	0.5854289	0.3194008	0.2225177
350	-986.907	-177.149	-809.758	0.82606	0.823361	0.406263	0.497795	0.1068788	0.7507579	0.4977945	0.4062629	0.8233611	0.8260598	0.0444516	0.06242723	0.2492421	69.38825	0.05322692	0.0523841	0.0437292	0.0425388	0.0441417	0.0542937	0.0581716	0.0533138	0.0778419	0.0776438	0.0782809	0.0477369	0.0477327	0.058112	0.0477421	0.0476925	0.0479189	0.0599631	0.0607623	69.38825	1758.837	0.4159065	0	0.114392	1	0.6743034	0.20958	0.116116	0.674303	0.1161162	0.3256966	0.2095803	0.1143917
400	-985.415	-176.121	-809.294	0.583809	0.966132	0.756824	0.749466	0.1075739	0.7847615	0.7494662	0.7568243	0.9661321	0.5838089	0.05229496	0.05527893	0.2152385	69.38825	0.04244607	0.0904178	0.0839614	0.0839801	0.0859783	0.0988381	0.104767	0.0470034	0.0596133	0.0602459	0.0606551	0.029714	0.0299345	0.0277417	0.0243903	0.0245438	0.0247283	0.0315218	0.0319649	69.38825	1758.837	0.4861306	0	0.484557	1	0.702102	0.200447	0.0974515	0.702102	0.09745149	0.297898	0.2004466	0.484557
450	-987.529	-176.534	-810.995	0.428342	0.803071	0.693835	0.966753	0.1181834	0.8770893	0.9667529	0.6938352	0.8030715	0.4283421	0.04841581	0.06976762	0.1229107	69.38825	0.0524579	0.0904833	0.0890023	0.0891334	0.0900689	0.0992632	0.101378	0.0510217	0.0534332	0.0535666	0.0534826	0.0363786	0.0362665	0.0251378	0.024449	0.0244925	0.0245844	0.0288357	0.0290222	69.38825	1758.837	0.4096667	0	0.824885	1	0.4575799	0.234569	0.307851	0.45758	0.3078508	0.5424201	0.2345694	0.8248852
