Iteration	Posterior	Likelihood	Prior	biome_rates[1]	biome_rates[2]	biome_rates[3]	biome_rates[4]	birth	br_base	br_CW	br_TW	br_WC	br_WT	death	diversification	dr_base	endAge	rate_biome	rf_simplex[1]	rf_simplex[2]	rf_simplex[3]	rf_simplex[4]	rf_simplex[5]	rf_simplex[6]	rf_simplex[7]	rf_simplex[8]	rf_simplex[9]	rf_simplex[10]	rf_simplex[11]	rf_simplex[12]	rf_simplex[13]	rf_simplex[14]	rf_simplex[15]	rf_simplex[16]	rf_simplex[17]	rf_simplex[18]	root_age	tree_length	turnover	w_adj[1]	w_adj[2]	w_adj[3]	w_biome	w_graph[1]	w_graph[2]	w_graph[3]	w_land	w_not_biome	w_null	y_subdominant
0	-977.717	-122.118	-855.599	1	1	1	1	0.04	0.75	1	1	1	1	0.03	0.01	0.25	69.38825	0.03	0.10234	0.0869161	0.0832722	0.0872243	0.101831	0.124346	0.0313451	0.0811343	0.0800742	0.0817743	0.0211306	0.0224432	0.0181128	0.0132694	0.0131351	0.0133591	0.0184155	0.0198772	69.38825	1758.837	0.75	0	0.1	1	0.8421053	0.0526316	0.105263	0.842105	0.1052632	0.1578947	0.05263158	0.1
50	-935.146	-125.4	-809.746	0.330859	0.503242	0.270677	0.817566	0.09687131	0.6864236	0.8175662	0.2706774	0.5032415	0.3308592	0.05261154	0.04425977	0.3135764	69.38825	0.02187793	0.0701003	0.0668022	0.0665154	0.067172	0.0718706	0.0740472	0.0648629	0.0726542	0.0727471	0.0725555	0.0607804	0.0592637	0.0312829	0.0276784	0.0276917	0.0278059	0.0328137	0.0333558	69.38825	1758.837	0.5431075	0	0.196826	1	0.4298429	0.163373	0.406784	0.429843	0.4067842	0.5701571	0.1633728	0.1968264
100	-926.995	-118.312	-808.684	0.913055	0.929043	0.638352	0.956708	0.1044912	0.7821269	0.9567083	0.6383521	0.929043	0.913055	0.05675195	0.04773925	0.2178731	69.38825	0.01642867	0.0601724	0.0565815	0.0565156	0.056919	0.0631021	0.0217038	0.0712957	0.0792829	0.0793991	0.0789502	0.0629601	0.0207406	0.0561804	0.0522188	0.0522611	0.0524234	0.0591674	0.0201258	69.38825	1758.837	0.5431266	0	0.384609	1	0.3324171	0.0011762	0.666407	0.332417	0.6664067	0.6675829	0.001176201	0.3846086
150	-928.601	-120.14	-808.462	0.73821	0.879806	0.700526	0.929986	0.09982697	0.7375541	0.9299861	0.7005258	0.8798055	0.7382099	0.04887233	0.05095464	0.2624459	69.38825	0.01391661	0.0621297	0.0603004	0.06029	0.0606515	0.0647784	0.0660401	0.058557	0.0622921	0.0623606	0.0619779	0.0527633	0.0518741	0.0460245	0.0442501	0.0442723	0.0444261	0.0482595	0.0487525	69.38825	1758.837	0.4895704	0	0.498493	1	0.260672	0.0377003	0.701628	0.260672	0.7016277	0.739328	0.03770027	0.4984929
200	-928.119	-119.374	-808.745	0.45419	0.930714	0.484636	0.58545	0.1149793	0.7615404	0.5854502	0.4846362	0.930714	0.4541902	0.05804853	0.05693074	0.2384596	69.38825	0.0210978	0.0578527	0.056168	0.0561346	0.0564172	0.0594971	0.0583976	0.0470828	0.0514129	0.0514757	0.0511232	0.042438	0.0397548	0.0628899	0.0603469	0.0603751	0.0605341	0.0650094	0.06309	69.38825	1758.837	0.5048608	0	0.388062	1	0.2752415	0.00782024	0.716938	0.275241	0.7169383	0.7247585	0.007820237	0.3880617
250	-933.008	-123.091	-809.917	0.274865	0.836803	0.257257	0.845574	0.1373567	0.729557	0.8455738	0.2572571	0.8368035	0.2748653	0.08424904	0.05310764	0.270443	69.38825	0.02199335	0.103583	0.0940864	0.0910508	0.0927702	0.100222	0.0762609	0.0538328	0.0883707	0.0894189	0.0888159	0.0245348	0.0110902	0.0193007	0.0117373	0.0118463	0.0118339	0.0204084	0.0108359	69.38825	1758.837	0.6133596	0	0.210024	1	0.870934	0.00179065	0.127275	0.870934	0.1272753	0.129066	0.001790651	0.2100242
300	-932.588	-120.883	-811.704	0.227283	0.431733	0.350349	0.321506	0.08345095	0.8835679	0.3215062	0.3503488	0.4317334	0.2272833	0.0385049	0.04494605	0.1164321	69.38825	0.03471739	0.0927972	0.0860546	0.0855071	0.0868442	0.0960134	0.100795	0.037954	0.0522703	0.0524576	0.0524787	0.0297798	0.0291594	0.0344052	0.0301235	0.0301821	0.0303112	0.0361545	0.0367128	69.38825	1758.837	0.4614075	0	0.264303	1	0.5897336	0.109264	0.301002	0.589734	0.3010022	0.4102664	0.1092641	0.2643034
350	-929.58	-120.583	-808.997	0.729256	0.638529	0.449659	0.953253	0.09786731	0.7720277	0.9532526	0.4496591	0.6385286	0.7292561	0.0506896	0.04717771	0.2279723	69.38825	0.01575332	0.0463748	0.0459019	0.0459	0.0459482	0.0468231	0.0469803	0.0729466	0.0740003	0.0740033	0.073926	0.0719812	0.0717418	0.047344	0.0467709	0.0467717	0.0468085	0.0478326	0.0479446	69.38825	1758.837	0.5179421	0	0.382163	1	0.06115014	0.0802762	0.858574	0.0611501	0.8585736	0.9388499	0.08027624	0.3821626
400	-930.025	-121.695	-808.33	0.999589	0.560209	0.624095	0.937734	0.1029391	0.8363084	0.9377342	0.6240955	0.5602095	0.9995888	0.0457299	0.05720923	0.1636916	69.38825	0.01555233	0.0521819	0.0503567	0.0503619	0.0506192	0.0554171	0.0560589	0.0762075	0.0795685	0.0796283	0.0794136	0.0699504	0.069593	0.0382601	0.0368456	0.0368617	0.0369914	0.0406694	0.0410149	69.38825	1758.837	0.4442422	0	0.580897	1	0.2348362	0.133024	0.63214	0.234836	0.6321397	0.7651638	0.133024	0.5808969
450	-930.079	-119.811	-810.268	0.540441	0.991396	0.557696	0.489802	0.09138474	0.8147248	0.4898015	0.5576957	0.9913962	0.5404411	0.01892393	0.07246081	0.1852752	69.38825	0.02623187	0.0919743	0.0808559	0.0797208	0.0817327	0.0924641	0.115588	0.0403051	0.07339	0.0742741	0.0746647	0.0174109	0.0180813	0.0287724	0.0223043	0.0225047	0.022657	0.03031	0.0329898	69.38825	1758.837	0.2070798	0	0.276759	1	0.8547548	0.0293863	0.115859	0.854755	0.1158589	0.1452452	0.02938634	0.2767589
