Iteration	Posterior	Likelihood	Prior	biome_rates[1]	biome_rates[2]	biome_rates[3]	biome_rates[4]	birth	br_base	br_CW	br_TW	br_WC	br_WT	death	diversification	dr_base	endAge	rate_biome	rf_simplex[1]	rf_simplex[2]	rf_simplex[3]	rf_simplex[4]	rf_simplex[5]	rf_simplex[6]	rf_simplex[7]	rf_simplex[8]	rf_simplex[9]	rf_simplex[10]	rf_simplex[11]	rf_simplex[12]	rf_simplex[13]	rf_simplex[14]	rf_simplex[15]	rf_simplex[16]	rf_simplex[17]	rf_simplex[18]	root_age	tree_length	turnover	w_adj[1]	w_adj[2]	w_adj[3]	w_biome	w_graph[1]	w_graph[2]	w_graph[3]	w_land	w_not_biome	w_null	y_subdominant
0	-1044.02	-188.425	-855.599	1	1	1	1	0.04	0.75	1	1	1	1	0.03	0.01	0.25	69.38825	0.03	0.10234	0.0869161	0.0832722	0.0872243	0.101831	0.124346	0.0313451	0.0811343	0.0800742	0.0817743	0.0211306	0.0224432	0.0181128	0.0132694	0.0131351	0.0133591	0.0184155	0.0198772	69.38825	1758.837	0.75	0	0.1	1	0.8421053	0.0526316	0.105263	0.842105	0.1052632	0.1578947	0.05263158	0.1
50	-999.234	-188.966	-810.268	0.574324	0.687741	0.345415	0.518068	0.1257714	0.8342251	0.5180677	0.3454147	0.6877409	0.5743236	0.06986562	0.05590582	0.1657749	69.38825	0.06169275	0.0449111	0.0422702	0.0422349	0.0426545	0.0478343	0.0490872	0.0608572	0.0677875	0.0679516	0.0676645	0.0524242	0.0515952	0.060889	0.0567965	0.056862	0.057134	0.0650619	0.0659843	69.38825	1758.837	0.5554967	0	0.44281	1	0.3895014	0.120357	0.490142	0.389501	0.490142	0.6104986	0.1203566	0.4428101
100	-996.299	-186.729	-809.57	0.7564	0.674048	0.394719	0.515456	0.09556895	0.8517873	0.5154557	0.3947194	0.6740482	0.7564	0.04155621	0.05401273	0.1482127	69.38825	0.03940368	0.0426729	0.0383585	0.0381831	0.0385346	0.0442061	0.04521	0.0591838	0.0707732	0.0707974	0.0707835	0.0543888	0.0538194	0.0644021	0.0580496	0.0580595	0.0582377	0.0667027	0.0676373	69.38825	1758.837	0.4348297	0	0.203972	1	0.3971191	0.149545	0.453336	0.397119	0.4533357	0.6028809	0.1495452	0.2039716
150	-998.653	-188.573	-810.08	0.767311	0.70778	0.270773	0.75464	0.09128309	0.9227702	0.7546403	0.2707731	0.7077802	0.7673109	0.03587503	0.05540807	0.07722984	69.38825	0.05115649	0.0323226	0.0303661	0.0303759	0.0305256	0.0348287	0.0286943	0.079598	0.0853749	0.0854923	0.0852243	0.0706816	0.0571749	0.0604834	0.0565783	0.0566372	0.0567833	0.065304	0.0535544	69.38825	1758.837	0.3930084	0	0.519512	1	0.2977658	0.0127685	0.689466	0.297766	0.6894656	0.7022342	0.01276855	0.519512
200	-997.321	-187.392	-809.929	0.591648	0.534127	0.338544	0.673609	0.1284746	0.8553296	0.6736094	0.338544	0.5341267	0.5916477	0.07442817	0.05404647	0.1446704	69.38825	0.04009539	0.0594685	0.0508625	0.0500909	0.0510534	0.0607994	0.0643701	0.0632584	0.0837892	0.0835064	0.0837697	0.0583359	0.0578406	0.0421396	0.0343264	0.0342541	0.0343984	0.0432806	0.044456	69.38825	1758.837	0.5793218	0	0.0911197	1	0.5039099	0.0820829	0.414007	0.50391	0.4140072	0.4960901	0.08208286	0.0911197
250	-996.76	-187.253	-809.507	0.953411	0.972566	0.566018	0.804553	0.0938651	0.8169326	0.8045532	0.566018	0.9725655	0.9534108	0.03330026	0.06056485	0.1830674	69.38825	0.03545546	0.038357	0.0372071	0.0371909	0.0372155	0.0385008	0.0386076	0.0588422	0.0620481	0.0620427	0.0620277	0.0583844	0.0581584	0.0694367	0.06745	0.0674472	0.0674667	0.0697165	0.0699007	69.38825	1758.837	0.3547672	0	0.0609558	1	0.1101643	0.161068	0.728768	0.110164	0.7287679	0.8898357	0.1610677	0.06095581
300	-994.445	-185.053	-809.392	0.781919	0.80255	0.412242	0.76165	0.1100806	0.8442373	0.7616496	0.4122417	0.8025496	0.7819189	0.05730311	0.05277752	0.1557627	69.38825	0.04553098	0.0510141	0.0450286	0.0448338	0.0456738	0.0553752	0.0582602	0.0667053	0.0812521	0.0815266	0.0816033	0.0544872	0.0542915	0.0482963	0.0413978	0.0414865	0.0417558	0.0528972	0.054115	69.38825	1758.837	0.5205558	0	0.340533	1	0.5352122	0.132599	0.332189	0.535212	0.3321889	0.4647878	0.1325988	0.3405331
350	-998.101	-188.236	-809.865	0.0444219	0.924115	0.412915	0.690086	0.09114237	0.8231039	0.6900864	0.4129151	0.9241151	0.04442192	0.03355546	0.05758691	0.1768961	69.38825	0.04301316	0.146162	0.14454	0.144407	0.144888	0.147283	0.148898	0.0107489	0.0142138	0.014313	0.0142272	0.00820469	0.00781142	0.0094422	0.0082597	0.00829444	0.0082992	0.0100497	0.00995758	69.38825	1758.837	0.3681653	0	0.321664	1	0.5817418	0.124104	0.294154	0.581742	0.2941541	0.4182582	0.1241041	0.3216643
400	-994.556	-184.902	-809.654	0.641855	0.612371	0.411496	0.573809	0.1031337	0.8754078	0.5738087	0.4114959	0.6123707	0.6418554	0.04237399	0.06075975	0.1245922	69.38825	0.05332468	0.0598869	0.0508528	0.0500019	0.0508558	0.0600713	0.0623887	0.0532506	0.0753453	0.0748474	0.075298	0.0517467	0.0515164	0.0514512	0.0427063	0.0425344	0.0427089	0.0517761	0.0527616	69.38825	1758.837	0.4108645	0	0.0103838	1	0.4905921	0.139527	0.369881	0.490592	0.3698812	0.5094079	0.1395266	0.01038376
450	-997.223	-186.722	-810.501	0.601595	0.661681	0.254139	0.769923	0.1108919	0.8904935	0.7699227	0.2541387	0.6616805	0.6015949	0.06938727	0.04150461	0.1095065	69.38825	0.06061827	0.0341237	0.033423	0.0334271	0.0335547	0.0356967	0.0330537	0.076647	0.0786944	0.0787251	0.0784873	0.0718923	0.0656386	0.0582877	0.0569043	0.0569187	0.0570488	0.061109	0.0563679	69.38825	1758.837	0.62572	0	0.635377	1	0.1619191	0.0132472	0.824834	0.161919	0.8248337	0.8380809	0.01324721	0.6353769
