Iteration	Posterior	Likelihood	Prior	biome_rates[1]	biome_rates[2]	biome_rates[3]	biome_rates[4]	birth	br_base	br_CW	br_TW	br_WC	br_WT	death	diversification	dr_base	endAge	rate_biome	rf_simplex[1]	rf_simplex[2]	rf_simplex[3]	rf_simplex[4]	rf_simplex[5]	rf_simplex[6]	rf_simplex[7]	rf_simplex[8]	rf_simplex[9]	rf_simplex[10]	rf_simplex[11]	rf_simplex[12]	rf_simplex[13]	rf_simplex[14]	rf_simplex[15]	rf_simplex[16]	rf_simplex[17]	rf_simplex[18]	root_age	tree_length	turnover	w_adj[1]	w_adj[2]	w_adj[3]	w_biome	w_graph[1]	w_graph[2]	w_graph[3]	w_land	w_not_biome	w_null	y_subdominant
0	-1007.22	-151.622	-855.599	1	1	1	1	0.04	0.75	1	1	1	1	0.03	0.01	0.25	69.38825	0.03	0.10234	0.0869161	0.0832722	0.0872243	0.101831	0.124346	0.0313451	0.0811343	0.0800742	0.0817743	0.0211306	0.0224432	0.0181128	0.0132694	0.0131351	0.0133591	0.0184155	0.0198772	69.38825	1758.837	0.75	0	0.1	1	0.8421053	0.0526316	0.105263	0.842105	0.1052632	0.1578947	0.05263158	0.1
50	-963.368	-153.073	-810.294	0.610345	0.593877	0.801998	0.3946	0.1186281	0.7433765	0.3945998	0.8019981	0.5938773	0.6103454	0.0764558	0.04217233	0.2566235	69.38825	0.05462017	0.0998829	0.0880936	0.0845959	0.0878443	0.0990575	0.110938	0.0285283	0.0616209	0.0607256	0.0615624	0.0244605	0.0239063	0.0303451	0.0254095	0.0252362	0.0254166	0.030554	0.0318221	69.38825	1758.837	0.6444998	0	0.0363053	1	0.7435505	0.0550194	0.20143	0.74355	0.2014302	0.2564495	0.05501937	0.0363053
100	-963.774	-154.237	-809.537	0.958162	0.509052	0.934822	0.712019	0.09098146	0.7202684	0.7120195	0.9348221	0.5090524	0.9581615	0.03507005	0.05591141	0.2797316	69.38825	0.02946752	0.0840135	0.075568	0.0751127	0.0768228	0.0898501	0.0979497	0.0566461	0.0727948	0.0731604	0.0731327	0.0417719	0.0413533	0.0242745	0.0212318	0.0212844	0.0214551	0.0262145	0.0273637	69.38825	1758.837	0.3854637	0	0.34116	1	0.6136052	0.0697515	0.316643	0.613605	0.3166433	0.3863948	0.06975152	0.3411596
150	-966.983	-157.933	-809.05	0.343934	0.703901	0.776641	0.742427	0.1152938	0.6586412	0.7424271	0.7766411	0.7039011	0.3439339	0.06262421	0.05266961	0.3413588	69.38825	0.02997668	0.121445	0.116038	0.115964	0.11867	0.127956	0.137871	0.0332409	0.0449462	0.0457991	0.0459792	0.0176352	0.0174076	0.00971572	0.00815417	0.00823991	0.00829783	0.0112517	0.0113877	69.38825	1758.837	0.5431706	0	0.445764	1	0.825527	0.113373	0.0610998	0.825527	0.06109982	0.174473	0.1133731	0.4457643
200	-962.708	-153.022	-809.686	0.331465	0.45231	0.999947	0.415428	0.1141128	0.8770553	0.4154281	0.999947	0.4523097	0.3314645	0.05901516	0.05509764	0.1229447	69.38825	0.05779126	0.13802	0.130136	0.13054	0.132892	0.139388	0.159685	0.0179943	0.041732	0.0425374	0.0430683	0.00340889	0.00371996	0.00289493	0.00249418	0.00253717	0.00256598	0.00312798	0.00325799	69.38825	1758.837	0.5171651	0	0.326965	1	0.9458089	0.0476494	0.00654162	0.945809	0.006541625	0.05419105	0.04764943	0.3269652
250	-961.937	-152.152	-809.784	0.757025	0.295509	0.776056	0.265682	0.1116951	0.7256825	0.265682	0.7760562	0.295509	0.7570254	0.04945074	0.0622444	0.2743175	69.38825	0.04973981	0.0990981	0.0862144	0.0836893	0.0860091	0.0973033	0.123409	0.0400725	0.0778497	0.0779962	0.0783392	0.0216731	0.0218815	0.01881	0.0157488	0.0157625	0.0158144	0.0189905	0.0213386	69.38825	1758.837	0.4427295	0	0.186306	1	0.8293466	0.016656	0.153997	0.829347	0.1539973	0.1706534	0.01665604	0.1863061
300	-962.995	-152.011	-810.984	0.654242	0.390275	0.351629	0.227783	0.08470858	0.8427595	0.2277835	0.3516291	0.3902751	0.6542423	0.03166109	0.0530475	0.1572405	69.38825	0.05462981	0.0562102	0.0468326	0.0460881	0.0478271	0.0605908	0.0688984	0.0565352	0.0807128	0.0810477	0.0815814	0.0400363	0.0402798	0.0511515	0.0432021	0.0432816	0.0436885	0.0545473	0.0574885	69.38825	1758.837	0.3737648	0	0.260634	1	0.7138801	0.0780654	0.208055	0.71388	0.2080545	0.2861199	0.07806541	0.2606343
350	-960.223	-150.359	-809.864	0.506047	0.348792	0.790834	0.238421	0.1086104	0.852015	0.2384212	0.7908342	0.3487921	0.5060472	0.04981285	0.05879753	0.147985	69.38825	0.06972889	0.110438	0.102106	0.103144	0.10587	0.117812	0.143976	0.0433946	0.0626	0.0641833	0.0650332	0.00991823	0.0109258	0.0102094	0.00900351	0.00916555	0.00927338	0.0111823	0.0117648	69.38825	1758.837	0.458638	0	0.537288	1	0.9050847	0.0550235	0.0398917	0.905085	0.03989173	0.09491527	0.05502354	0.5372876
400	-961.311	-152.056	-809.255	0.940937	0.809299	0.867614	0.728145	0.1083584	0.8407349	0.7281445	0.8676135	0.8092994	0.9409369	0.05076849	0.05758987	0.1592651	69.38825	0.03945615	0.0886534	0.075881	0.0754953	0.0783877	0.0972207	0.11114	0.0495469	0.0778975	0.0786042	0.0801475	0.0267842	0.0285482	0.0228963	0.0185419	0.018668	0.0189885	0.0256203	0.0269789	69.38825	1758.837	0.4685239	0	0.343014	1	0.7946728	0.124248	0.0810791	0.794673	0.08107908	0.2053272	0.1242481	0.3430142
450	-963.398	-153.184	-810.214	0.906475	0.525135	0.827304	0.350576	0.1214809	0.8970777	0.3505761	0.8273043	0.5251348	0.9064747	0.05715363	0.06432725	0.1029223	69.38825	0.03951355	0.0716456	0.0719443	0.0724474	0.0756253	0.0951055	0.113064	0.0771025	0.0778192	0.0782431	0.0802247	0.0216361	0.0241419	0.0208088	0.0209076	0.0209934	0.0215173	0.0273124	0.029461	69.38825	1758.837	0.4704743	0	0.995506	1	0.8251358	0.10012	0.0747446	0.825136	0.07474457	0.1748642	0.1001197	0.9955059
