Iteration	Posterior	Likelihood	Prior	biome_rates[1]	biome_rates[2]	biome_rates[3]	biome_rates[4]	birth	br_base	br_CW	br_TW	br_WC	br_WT	death	diversification	dr_base	endAge	rate_biome	rf_simplex[1]	rf_simplex[2]	rf_simplex[3]	rf_simplex[4]	rf_simplex[5]	rf_simplex[6]	rf_simplex[7]	rf_simplex[8]	rf_simplex[9]	rf_simplex[10]	rf_simplex[11]	rf_simplex[12]	rf_simplex[13]	rf_simplex[14]	rf_simplex[15]	rf_simplex[16]	rf_simplex[17]	rf_simplex[18]	root_age	tree_length	turnover	w_adj[1]	w_adj[2]	w_adj[3]	w_biome	w_graph[1]	w_graph[2]	w_graph[3]	w_land	w_not_biome	w_null	y_subdominant
0	-1078.34	-222.743	-855.599	1	1	1	1	0.04	0.75	1	1	1	1	0.03	0.01	0.25	69.38825	0.03	0.10234	0.0869161	0.0832722	0.0872243	0.101831	0.124346	0.0313451	0.0811343	0.0800742	0.0817743	0.0211306	0.0224432	0.0181128	0.0132694	0.0131351	0.0133591	0.0184155	0.0198772	69.38825	1758.837	0.75	0	0.1	1	0.8421053	0.0526316	0.105263	0.842105	0.1052632	0.1578947	0.05263158	0.1
50	-1019.56	-209.017	-810.543	0.593351	0.451933	0.361672	0.631254	0.1264419	0.9433976	0.6312544	0.3616721	0.451933	0.5933507	0.07850778	0.04793413	0.05660241	69.38825	0.08307607	0.050338	0.0480934	0.0480989	0.0482143	0.0534716	0.0536628	0.0728871	0.0772702	0.0773253	0.0773991	0.0666834	0.066768	0.0433751	0.0413076	0.0413281	0.0413647	0.0461767	0.0462359	69.38825	1758.837	0.6209	0	0.55173	1	0.2675157	0.684323	0.0481611	0.267516	0.0481611	0.7324843	0.6843232	0.5517295
100	-1021.13	-209.042	-812.089	0.74857	0.414654	0.272541	0.302724	0.1226667	0.9055661	0.3027243	0.2725409	0.4146536	0.74857	0.04989771	0.07276898	0.09443394	69.38825	0.06868169	0.0299219	0.0295818	0.0296166	0.0300432	0.0372654	0.0380341	0.0776039	0.0784852	0.0785668	0.0787695	0.0590252	0.0592078	0.0591857	0.0586331	0.0586621	0.0589151	0.0690579	0.0694247	69.38825	1758.837	0.4067747	0	0.940125	1	0.4838934	0.409919	0.106188	0.483893	0.1061881	0.5161066	0.4099185	0.9401245
150	-1020.9	-208.54	-812.36	0.576044	0.463207	0.197373	0.582588	0.1414334	0.8969542	0.5825883	0.1973726	0.463207	0.576044	0.1065266	0.03490689	0.1030458	69.38825	0.08206365	0.0312528	0.0305949	0.0306122	0.0308683	0.0350006	0.035459	0.0854331	0.0872135	0.0872895	0.0870894	0.07482	0.0745075	0.0500278	0.0488435	0.0488686	0.0490991	0.05632	0.0567001	69.38825	1758.837	0.7531921	0	0.81589	1	0.3112331	0.292358	0.396409	0.311233	0.3964087	0.6887669	0.2923582	0.8158898
200	-1019.25	-207.31	-811.936	0.596101	0.238323	0.276565	0.416358	0.08249633	0.9391605	0.4163578	0.2765653	0.2383232	0.5961013	0.01616778	0.06632855	0.06083947	69.38825	0.1136988	0.051076	0.0464334	0.0465289	0.0474533	0.0630844	0.065313	0.0875212	0.0956411	0.0960705	0.0969403	0.0663734	0.0674272	0.0275406	0.0249355	0.025012	0.0251965	0.0335263	0.0339265	69.38825	1758.837	0.1959818	0	0.640765	1	0.567534	0.388282	0.0441838	0.567534	0.04418383	0.432466	0.3882822	0.640765
250	-1018.8	-208.375	-810.425	0.822571	0.471002	0.171901	0.571935	0.09406564	0.9155899	0.5719354	0.1719013	0.4710021	0.8225705	0.03695314	0.05711249	0.08441006	69.38825	0.09158776	0.0227524	0.0216984	0.0217319	0.0220637	0.0287388	0.0294259	0.0972793	0.100358	0.100574	0.10074	0.0783795	0.0785398	0.0467662	0.0445526	0.0446162	0.0448756	0.0582076	0.058701	69.38825	1758.837	0.3928443	0	0.802209	1	0.4826481	0.352152	0.1652	0.482648	0.1651997	0.5173519	0.3521521	0.8022089
300	-1021.31	-211.467	-809.844	0.808612	0.650119	0.586458	0.986811	0.09594018	0.7778279	0.9868108	0.5864582	0.6501194	0.8086121	0.04227289	0.05366729	0.2221721	69.38825	0.05221864	0.073311	0.0630889	0.0619334	0.0633329	0.0747686	0.0799087	0.0589294	0.0810509	0.0806815	0.0810462	0.0537212	0.0531641	0.031822	0.0256737	0.0256031	0.0257288	0.0326418	0.0335939	69.38825	1758.837	0.4406171	0	0.086063	1	0.5413458	0.0855703	0.373084	0.541346	0.3730839	0.4586542	0.08557033	0.08606298
350	-1017.55	-207.553	-809.995	0.926984	0.505568	0.448769	0.69982	0.1159926	0.8685482	0.6998197	0.4487687	0.5055685	0.9269841	0.06684303	0.04914953	0.1314518	69.38825	0.06998986	0.0513976	0.0448933	0.0447371	0.0454672	0.0563896	0.0585784	0.0753781	0.0888385	0.0890237	0.0892606	0.0642481	0.0644146	0.0390754	0.0338328	0.0338773	0.0341003	0.0428139	0.0436737	69.38825	1758.837	0.57627	0	0.350485	1	0.4945342	0.192884	0.312582	0.494534	0.3125821	0.5054658	0.1928838	0.3504845
400	-1021.01	-208.022	-812.991	0.967174	0.538669	0.501109	0.634642	0.07965218	0.7933326	0.6346422	0.501109	0.5386693	0.9671744	0.03285715	0.04679503	0.2066674	69.38825	0.08492883	0.0729094	0.0573811	0.0554375	0.0588449	0.0784269	0.0925659	0.0593242	0.0991442	0.0988921	0.100992	0.0429074	0.0451317	0.0255725	0.0185178	0.0184879	0.0187821	0.0277133	0.0289691	69.38825	1758.837	0.4125079	0	0.183106	1	0.7993115	0.127621	0.0730673	0.799311	0.07306733	0.2006885	0.1276212	0.1831064
450	-1017.46	-207.985	-809.474	0.91067	0.74755	0.441593	0.608518	0.1106604	0.8311446	0.6085178	0.4415928	0.7475499	0.9106704	0.05217243	0.05848796	0.1688554	69.38825	0.04620167	0.0494515	0.0409839	0.0402179	0.0410107	0.0496789	0.0511647	0.0560234	0.0780065	0.0775414	0.0780285	0.0552015	0.0552607	0.0593815	0.0494023	0.0492553	0.049419	0.0597311	0.0602412	69.38825	1758.837	0.4714643	0	0.0116413	1	0.5244058	0.320166	0.155429	0.524406	0.1554287	0.4755942	0.3201656	0.01164133
500	-1017.93	-207.2	-810.733	0.981342	0.771122	0.541712	0.559225	0.1023602	0.8699355	0.5592252	0.5417123	0.7711223	0.9813425	0.06010272	0.04225743	0.1300645	69.38825	0.06301309	0.0580865	0.0461243	0.0449437	0.0461913	0.0585027	0.0611949	0.0483113	0.0784184	0.0775335	0.078505	0.0467909	0.0473471	0.0567339	0.04541	0.0451021	0.0454516	0.0572283	0.0581246	69.38825	1758.837	0.5871691	0	0.0239218	1	0.6065199	0.259036	0.134444	0.60652	0.134444	0.3934801	0.2590361	0.02392184
550	-1019.15	-209.074	-810.073	0.670999	0.596843	0.442617	0.690769	0.1138508	0.8355655	0.6907687	0.442617	0.5968426	0.670999	0.05789674	0.05595409	0.1644345	69.38825	0.08440139	0.071375	0.0591024	0.0575229	0.059139	0.0716041	0.0743163	0.05324	0.0802315	0.0794616	0.0802667	0.0526604	0.053108	0.0387801	0.0303893	0.0302278	0.0303983	0.0389343	0.0392423	69.38825	1758.837	0.5085316	0	0.0088937	1	0.5994852	0.339898	0.0606167	0.599485	0.06061667	0.4005148	0.3398981	0.008893703
