Iteration	Posterior	Likelihood	Prior	biome_rates[1]	biome_rates[2]	biome_rates[3]	biome_rates[4]	birth	br_base	br_CW	br_TW	br_WC	br_WT	death	diversification	dr_base	endAge	rate_biome	rf_simplex[1]	rf_simplex[2]	rf_simplex[3]	rf_simplex[4]	rf_simplex[5]	rf_simplex[6]	rf_simplex[7]	rf_simplex[8]	rf_simplex[9]	rf_simplex[10]	rf_simplex[11]	rf_simplex[12]	rf_simplex[13]	rf_simplex[14]	rf_simplex[15]	rf_simplex[16]	rf_simplex[17]	rf_simplex[18]	root_age	tree_length	turnover	w_adj[1]	w_adj[2]	w_adj[3]	w_biome	w_graph[1]	w_graph[2]	w_graph[3]	w_land	w_not_biome	w_null	y_subdominant
0	-1004.28	-148.683	-855.599	1	1	1	1	0.04	0.75	1	1	1	1	0.03	0.01	0.25	69.38825	0.03	0.107542	0.0932041	0.0892999	0.0929161	0.10412	0.140339	0.0247665	0.0881106	0.0871514	0.0887959	0.0125268	0.014073	0.0108661	0.00771541	0.00764287	0.00776794	0.0109077	0.0122541	69.38825	1758.837	0.75	0	0.1	1	0.9142857	0.0285714	0.0571429	0.914286	0.05714286	0.08571429	0.02857143	0.1
50	-957.691	-146.866	-810.825	0.283781	0.371312	0.0994555	0.969334	0.09690646	0.8717758	0.9693342	0.09945553	0.3713115	0.2837807	0.03034046	0.06656599	0.1282242	69.38825	0.1080645	0.0721626	0.0567686	0.0501309	0.0558027	0.0691123	0.115336	0.0461344	0.137761	0.134829	0.137522	0.0356133	0.0376282	0.0123878	0.00459585	0.00450661	0.00458483	0.0119479	0.013176	69.38825	1758.837	0.3130902	0	0.0191235	1	0.9158901	0.0244498	0.0596601	0.91589	0.05966006	0.08410987	0.02444982	0.01912351
100	-961.402	-151.951	-809.451	0.421425	0.390544	0.797857	0.507322	0.1039649	0.8959645	0.5073221	0.7978569	0.3905437	0.4214252	0.04797945	0.05598545	0.1040355	69.38825	0.04863022	0.130986	0.117495	0.111677	0.117901	0.131389	0.149887	0.010932	0.0595097	0.0575523	0.059762	0.00934521	0.0102398	0.00618388	0.00482362	0.00468754	0.00484117	0.00624732	0.00654013	69.38825	1758.837	0.4614966	0	0.0254255	1	0.8969491	0.102161	0.000890212	0.896949	0.0008902118	0.1030509	0.1021607	0.02542553
150	-960.849	-151.191	-809.658	0.957169	0.472586	0.73296	0.726049	0.1250716	0.8099208	0.7260492	0.7329602	0.4725862	0.9571687	0.07733612	0.04773546	0.1900792	69.38825	0.03612546	0.0898667	0.0729521	0.070108	0.0728142	0.0889811	0.10566	0.0458713	0.0895705	0.0882453	0.0895784	0.0357855	0.0377153	0.0210491	0.015836	0.0156704	0.015843	0.021162	0.0232914	69.38825	1758.837	0.6183349	0	0.0883939	1	0.7383906	0.0378375	0.223772	0.738391	0.2237719	0.2616094	0.03783754	0.08839393
200	-962.568	-151.296	-811.272	0.99396	0.384583	0.505271	0.503054	0.0826927	0.6562869	0.5030543	0.5052707	0.3845827	0.9939605	0.01409547	0.06859724	0.3437131	69.38825	0.04987035	0.0792136	0.0645271	0.0604135	0.0640617	0.0769161	0.115049	0.0551324	0.111447	0.111042	0.112136	0.0314136	0.0321884	0.0164058	0.0112609	0.0112366	0.0113289	0.0167981	0.0194292	69.38825	1758.837	0.170456	0	0.123663	1	0.8788625	0.0200086	0.101129	0.878863	0.1011288	0.1211375	0.0200086	0.1236627
250	-957.56	-146.774	-810.786	0.579261	0.450782	0.661961	0.719361	0.08546078	0.7397779	0.7193609	0.6619607	0.4507819	0.5792611	0.02650591	0.05895487	0.2602221	69.38825	0.06351864	0.11516	0.10392	0.0993572	0.103605	0.1122	0.152821	0.0208195	0.0844637	0.0841429	0.0855009	0.00877235	0.00958341	0.00383479	0.0025199	0.00251159	0.00254792	0.00397769	0.00426156	69.38825	1758.837	0.3101529	0	0.0974245	1	0.9537839	0.0278594	0.0183568	0.953784	0.01835676	0.04621613	0.02785937	0.09742448
300	-957.751	-148.053	-809.698	0.934801	0.82034	0.302853	0.260608	0.125046	0.6797677	0.2606081	0.3028528	0.8203403	0.9348008	0.06947729	0.05556866	0.3202323	69.38825	0.03688034	0.0604923	0.0479598	0.0436295	0.0475517	0.0580995	0.106452	0.046774	0.126635	0.126237	0.128188	0.0234391	0.0262128	0.0319113	0.0202112	0.0201713	0.0203609	0.0316727	0.0340013	69.38825	1758.837	0.5556141	0	0.0930205	1	0.9547632	0.0265761	0.0186608	0.954763	0.01866076	0.04523685	0.02657608	0.09302054
350	-961.343	-150.078	-811.265	0.493536	0.54845	0.985041	0.407172	0.1054097	0.7984325	0.4071722	0.9850411	0.5484497	0.4935357	0.0323323	0.07307738	0.2015675	69.38825	0.07515448	0.128997	0.119487	0.11681	0.120192	0.127661	0.154058	0.0152704	0.0571513	0.0571817	0.0580851	0.00575815	0.00620182	0.00603664	0.00483678	0.00483889	0.00490239	0.00612437	0.00640706	69.38825	1758.837	0.3067299	0	0.138598	1	0.9386331	0.0363778	0.0249891	0.938633	0.0249891	0.06136691	0.03637782	0.138598
400	-958.24	-147.427	-810.813	0.423079	0.298983	0.586367	0.602441	0.1209351	0.7597879	0.602441	0.5863671	0.2989829	0.4230792	0.05739478	0.06354034	0.2402121	69.38825	0.08088733	0.121981	0.112144	0.106699	0.112023	0.120304	0.154717	0.0156004	0.0750241	0.0743149	0.0757266	0.00834439	0.00894074	0.00279121	0.00183741	0.00182263	0.00185255	0.0028675	0.00300895	69.38825	1758.837	0.4745915	0	0.066433	1	0.9523318	0.0334918	0.0141764	0.952332	0.01417643	0.04766818	0.03349175	0.06643298
450	-962.942	-151.84	-811.101	0.685786	0.523714	0.8808	0.349882	0.08245054	0.81307	0.3498823	0.8807998	0.523714	0.6857863	0.01575439	0.06669616	0.18693	69.38825	0.04778552	0.0995952	0.087801	0.0865074	0.0888702	0.101661	0.117295	0.0352886	0.0647836	0.0650004	0.0656428	0.0205282	0.0212134	0.0256372	0.0217622	0.0218049	0.021986	0.0264644	0.028158	69.38825	1758.837	0.1910768	0	0.235219	1	0.7854162	0.0507421	0.163842	0.785416	0.1638417	0.2145838	0.0507421	0.2352186
