Iteration	Posterior	Likelihood	Prior	biome_rates[1]	biome_rates[2]	biome_rates[3]	biome_rates[4]	birth	br_base	br_CW	br_TW	br_WC	br_WT	death	diversification	dr_base	endAge	rate_biome	rf_simplex[1]	rf_simplex[2]	rf_simplex[3]	rf_simplex[4]	rf_simplex[5]	rf_simplex[6]	rf_simplex[7]	rf_simplex[8]	rf_simplex[9]	rf_simplex[10]	rf_simplex[11]	rf_simplex[12]	rf_simplex[13]	rf_simplex[14]	rf_simplex[15]	rf_simplex[16]	rf_simplex[17]	rf_simplex[18]	root_age	tree_length	turnover	w_adj[1]	w_adj[2]	w_adj[3]	w_biome	w_graph[1]	w_graph[2]	w_graph[3]	w_land	w_not_biome	w_null	y_subdominant
0	-1003.79	-148.187	-855.599	1	1	1	1	0.04	0.75	1	1	1	1	0.03	0.01	0.25	69.38825	0.03	0.10234	0.0869161	0.0832722	0.0872243	0.101831	0.124346	0.0313451	0.0811343	0.0800742	0.0817743	0.0211306	0.0224432	0.0181128	0.0132694	0.0131351	0.0133591	0.0184155	0.0198772	69.38825	1758.837	0.75	0	0.1	1	0.8421053	0.0526316	0.105263	0.842105	0.1052632	0.1578947	0.05263158	0.1
50	-957.769	-147.912	-809.857	0.508498	0.299198	0.577502	0.405398	0.09916805	0.8441611	0.4053976	0.5775018	0.2991982	0.5084984	0.05176368	0.04740437	0.1558389	69.38825	0.04116506	0.0919852	0.0833973	0.0832247	0.0852821	0.0998202	0.110117	0.0529922	0.0694045	0.0700208	0.0702152	0.0336232	0.0338695	0.0196954	0.0172061	0.0172941	0.0174546	0.0217178	0.0226801	69.38825	1758.837	0.5219794	0	0.419511	1	0.6793778	0.0814307	0.239192	0.679378	0.2391915	0.3206222	0.08143068	0.4195105
100	-959.459	-148.361	-811.098	0.79412	0.728393	0.944429	0.790945	0.07839918	0.6600444	0.7909451	0.9444292	0.7283927	0.7941198	0.01135846	0.06704072	0.3399556	69.38825	0.0240088	0.0887064	0.0859928	0.0866104	0.0896884	0.103576	0.115797	0.06215	0.0672935	0.0680407	0.0682324	0.0299696	0.0299051	0.016278	0.0153338	0.0154253	0.0156398	0.0203959	0.0209643	69.38825	1758.837	0.1448799	0	0.784413	1	0.767945	0.107745	0.12431	0.767945	0.1243097	0.232055	0.1077452	0.7844132
150	-957.37	-147.993	-809.377	0.851618	0.463663	0.663349	0.556737	0.09693112	0.8377048	0.5567368	0.6633494	0.4636629	0.851618	0.03555881	0.06137231	0.1622952	69.38825	0.03484705	0.0728568	0.0640187	0.0637394	0.0652113	0.0796037	0.08572	0.0611079	0.078337	0.0786847	0.0790219	0.0452714	0.0457667	0.0309353	0.0267726	0.0268426	0.0270873	0.0338428	0.03518	69.38825	1758.837	0.3668461	0	0.362531	1	0.6081103	0.108673	0.283217	0.60811	0.2832167	0.3918897	0.1086731	0.362531
200	-959.008	-147.796	-811.211	0.739265	0.665708	0.660942	0.616501	0.1476452	0.7730487	0.6165006	0.6609418	0.6657078	0.7392645	0.1073947	0.04025053	0.2269513	69.38825	0.03080879	0.0775782	0.0710751	0.0711884	0.0734899	0.088412	0.0965634	0.0603973	0.073285	0.0741311	0.0746557	0.0371942	0.0375973	0.0273411	0.0240945	0.0242476	0.0244987	0.0317444	0.032506	69.38825	1758.837	0.7273834	0	0.528427	1	0.7171763	0.157043	0.12578	0.717176	0.1257804	0.2828237	0.1570433	0.5284275
250	-960.778	-151.1	-809.679	0.857751	0.814727	0.534715	0.282781	0.1277158	0.8669141	0.2827806	0.5347151	0.8147265	0.8577511	0.08007674	0.04763907	0.1330859	69.38825	0.03270322	0.0406181	0.0394103	0.0395663	0.04053	0.0505134	0.0529287	0.0579205	0.0607954	0.0610884	0.0615399	0.0340858	0.0345123	0.0682929	0.0665921	0.0667376	0.0671884	0.0784542	0.0792256	69.38825	1758.837	0.6269916	0	0.853715	1	0.6431597	0.271848	0.0849919	0.64316	0.08499193	0.3568403	0.2718484	0.8537145
300	-960.212	-148.139	-812.072	0.542209	0.508624	0.579276	0.982809	0.1371551	0.914317	0.982809	0.5792761	0.5086238	0.5422088	0.07087359	0.06628151	0.08568297	69.38825	0.05360301	0.0839637	0.0834581	0.0840168	0.0871764	0.107048	0.121965	0.0750433	0.0767148	0.0771708	0.0784671	0.028028	0.0300576	0.00964243	0.00955427	0.00960481	0.00979303	0.0136518	0.0146436	69.38825	1758.837	0.5167405	0	0.958382	1	0.7619579	0.108536	0.129506	0.761958	0.1295062	0.2380421	0.1085358	0.9583823
350	-957.667	-147.886	-809.781	0.934173	0.527956	0.953784	0.778725	0.1206499	0.7419849	0.7787248	0.9537836	0.5279556	0.934173	0.05505995	0.06558995	0.2580151	69.38825	0.02337271	0.0916768	0.0811245	0.0804664	0.0829222	0.0986088	0.109155	0.0526194	0.0738056	0.074281	0.0748313	0.0357445	0.036115	0.0188545	0.015843	0.0159021	0.0160629	0.0205903	0.0213971	69.38825	1758.837	0.4563613	0	0.324367	1	0.7017486	0.104519	0.193732	0.701749	0.1937322	0.2982514	0.1045192	0.3243669
400	-960.314	-150.215	-810.099	0.310643	0.315315	0.119068	0.369645	0.1189276	0.9265434	0.3696453	0.1190685	0.3153148	0.3106431	0.0644637	0.05446394	0.07345656	69.38825	0.07586223	0.040997	0.0397747	0.0400191	0.0418429	0.0550437	0.0632111	0.0977539	0.100618	0.101124	0.101007	0.0566688	0.0575482	0.0295805	0.0282611	0.0283675	0.0289193	0.0433732	0.0458893	69.38825	1758.837	0.5420414	0	0.876677	1	0.6779474	0.0677092	0.254343	0.677947	0.2543434	0.3220526	0.06770918	0.8766767
450	-961.521	-151.194	-810.327	0.333493	0.318338	0.272922	0.947255	0.1037337	0.8896781	0.9472546	0.2729218	0.3183375	0.3334933	0.03250777	0.07122591	0.1103219	69.38825	0.04007009	0.0644232	0.0641831	0.0641843	0.0642758	0.0655528	0.0657131	0.0775568	0.0779547	0.0779579	0.077864	0.0757845	0.0756375	0.0246866	0.0245316	0.0245322	0.0245487	0.0252972	0.0253161	69.38825	1758.837	0.3133772	0	0.784242	1	0.06630965	0.246061	0.687629	0.0663096	0.6876293	0.9336904	0.2460611	0.7842417
500	-958.913	-146.559	-812.354	0.139086	0.0948667	0.110859	0.429105	0.09037646	0.9567525	0.4291047	0.1108594	0.09486668	0.1390862	0.01635439	0.07402207	0.04324749	69.38825	0.1585437	0.0956301	0.07958	0.0776337	0.0814807	0.102323	0.116476	0.0557357	0.0900015	0.0899393	0.0916944	0.0401409	0.0417857	0.00692317	0.0047079	0.00470511	0.00479307	0.00804721	0.00840314	69.38825	1758.837	0.1809585	0	0.212394	1	0.771428	0.141083	0.0874888	0.771428	0.08748885	0.228572	0.1410832	0.2123943
550	-957.596	-146.146	-811.45	0.152102	0.196139	0.16788	0.690604	0.09106226	0.9511592	0.690604	0.1678802	0.1961394	0.1521023	0.02006679	0.07099546	0.04884078	69.38825	0.1015311	0.0898723	0.0873963	0.0879228	0.0908753	0.109808	0.117703	0.0701247	0.074191	0.0747551	0.0757889	0.0378959	0.0388898	0.00643918	0.00608766	0.00612804	0.00621262	0.00983552	0.0100739	69.38825	1758.837	0.2203635	0	0.844674	1	0.7180201	0.235109	0.046871	0.71802	0.04687097	0.2819799	0.2351089	0.844674
600	-962.177	-149.485	-812.692	0.210624	0.226339	0.0658213	0.825937	0.09959661	0.9590549	0.825937	0.0658213	0.2263386	0.2106244	0.01983252	0.0797641	0.04094508	69.38825	0.1012519	0.0423181	0.0367722	0.0365642	0.0370201	0.0447116	0.04605	0.100028	0.111518	0.111504	0.111656	0.0950451	0.0950037	0.0237166	0.0189983	0.0189963	0.019048	0.0254375	0.0256129	69.38825	1758.837	0.1991284	0	0.21167	1	0.3883025	0.228255	0.383443	0.388302	0.3834426	0.6116975	0.2282549	0.2116699
650	-962.334	-152.192	-810.141	0.370263	0.115384	0.366422	0.15353	0.09345359	0.8860632	0.1535305	0.3664223	0.1153837	0.3702633	0.03547816	0.05797543	0.1139368	69.38825	0.06684506	0.0786078	0.0710405	0.0705833	0.0715775	0.0820078	0.0854204	0.0554492	0.0681453	0.0681607	0.0681791	0.0485609	0.0479367	0.0313411	0.0290234	0.0290255	0.0291619	0.0324693	0.0333095	69.38825	1758.837	0.379634	0	0.239127	1	0.4686825	0.111	0.420318	0.468683	0.4203179	0.5313175	0.1109996	0.2391267
700	-962.445	-153.085	-809.361	0.379972	0.243319	0.721366	0.138572	0.1042133	0.9325617	0.1385715	0.7213657	0.2433186	0.3799721	0.05070078	0.05351253	0.06743832	69.38825	0.04334712	0.0928293	0.088619	0.0888895	0.0901697	0.102358	0.105547	0.0386529	0.0453092	0.0455821	0.0459289	0.0237185	0.024051	0.0345163	0.0332238	0.0333138	0.0334925	0.0367295	0.0370683	69.38825	1758.837	0.4865097	0	0.644838	1	0.6002846	0.281153	0.118563	0.600285	0.1185627	0.3997154	0.2811527	0.6448383
750	-962.379	-152.049	-810.329	0.229165	0.318746	0.0600867	0.539436	0.102334	0.9152662	0.5394359	0.06008669	0.3187457	0.2291654	0.03975269	0.06258127	0.08473379	69.38825	0.09501187	0.0364236	0.0321106	0.0320021	0.0334791	0.0433673	0.0502795	0.100213	0.112081	0.112851	0.112584	0.0751858	0.0745642	0.0305227	0.0238804	0.0240058	0.0243334	0.0402977	0.0418192	69.38825	1758.837	0.3884604	0	0.470968	1	0.6520468	0.0687428	0.27921	0.652047	0.2792104	0.3479532	0.06874283	0.4709681
800	-962.763	-152.889	-809.874	0.371225	0.262108	0.150684	0.794615	0.09651374	0.8898716	0.7946151	0.1506837	0.2621078	0.3712246	0.03433082	0.06218292	0.1101284	69.38825	0.0546451	0.0403303	0.0398631	0.0398636	0.0399937	0.0415056	0.0418246	0.0965427	0.0975161	0.0975258	0.0973612	0.0942609	0.093931	0.029801	0.029299	0.0293008	0.0293531	0.0308165	0.030911	69.38825	1758.837	0.3557092	0	0.627052	1	0.09266012	0.0707199	0.83662	0.0926601	0.83662	0.9073399	0.07071992	0.6270524
850	-960.312	-149.814	-810.498	0.318753	0.107783	0.3871	0.959264	0.09077002	0.9304435	0.9592638	0.3871002	0.1077831	0.3187532	0.02797362	0.0627964	0.06955645	69.38825	0.07379551	0.108811	0.0947039	0.093748	0.0964517	0.11644	0.124393	0.0496105	0.0731475	0.0731734	0.0742985	0.0371584	0.0382078	0.00351346	0.00276163	0.00276247	0.00280258	0.00395063	0.00406595	69.38825	1758.837	0.3081813	0	0.272637	1	0.6714482	0.210914	0.117638	0.671448	0.1176378	0.3285518	0.2109141	0.2726367
900	-957.023	-146.878	-810.144	0.472509	0.330066	0.321947	0.870888	0.1168878	0.9060961	0.8708883	0.3219468	0.3300657	0.4725092	0.07454794	0.04233981	0.09390393	69.38825	0.04857194	0.0654726	0.0654341	0.0657125	0.0681664	0.0883096	0.094033	0.0901682	0.0906537	0.0908755	0.0923707	0.0533815	0.0548382	0.011293	0.0112827	0.0113044	0.0114582	0.0174503	0.0177954	69.38825	1758.837	0.6377738	0	0.99086	1	0.6850972	0.301945	0.0129574	0.685097	0.01295742	0.3149028	0.3019453	0.9908605
950	-959.636	-149.56	-810.076	0.948123	0.403391	0.609238	0.481489	0.1307165	0.8827667	0.4814894	0.6092378	0.4033912	0.9481231	0.07332952	0.057387	0.1172333	69.38825	0.03388274	0.0632389	0.0559871	0.0559984	0.0572092	0.0736301	0.0766323	0.0696248	0.0823543	0.0827825	0.0836871	0.0519689	0.0529997	0.03261	0.0290735	0.0291594	0.0293562	0.0366528	0.0370346	69.38825	1758.837	0.5609813	0	0.497818	1	0.6077342	0.370026	0.0222403	0.607734	0.02224029	0.3922658	0.3700256	0.497818
1000	-960.508	-150.838	-809.671	0.464282	0.599259	0.587482	0.248838	0.09170316	0.8231275	0.2488379	0.5874817	0.5992587	0.4642817	0.02397794	0.06772523	0.1768725	69.38825	0.02501666	0.0657476	0.0654472	0.065561	0.0665124	0.0747385	0.0763496	0.0477985	0.0483757	0.0484486	0.0486959	0.0316841	0.0318967	0.053139	0.0529088	0.0529322	0.0530243	0.0583195	0.0584204	69.38825	1758.837	0.2614734	0	0.957521	1	0.5802338	0.410568	0.00919814	0.580234	0.009198138	0.4197662	0.4105681	0.9575206
1050	-959.964	-150.802	-809.163	0.935591	0.787617	0.934201	0.6331	0.0997627	0.7321906	0.6330996	0.9342009	0.7876166	0.9355912	0.0343111	0.06545161	0.2678094	69.38825	0.02371081	0.0664097	0.0629946	0.0629807	0.0636789	0.0713013	0.0731385	0.0537654	0.0601815	0.060378	0.0602109	0.0442074	0.0436861	0.0462157	0.0438104	0.0438645	0.04407	0.0492645	0.0498421	69.38825	1758.837	0.3439271	0	0.510834	1	0.443993	0.197257	0.35875	0.443993	0.3587505	0.556007	0.1972565	0.5108338
1100	-961.152	-150.288	-810.865	0.487269	0.956536	0.689376	0.182214	0.08070063	0.7603631	0.1822145	0.689376	0.9565357	0.4872685	0.01537542	0.06532521	0.2396369	69.38825	0.03190372	0.0809365	0.0779438	0.0786813	0.0815676	0.0928403	0.104192	0.0443749	0.050786	0.0516874	0.0524346	0.0157574	0.0164191	0.0414725	0.0394561	0.0397235	0.0399582	0.0457133	0.0460558	69.38825	1758.837	0.1905241	0	0.740103	1	0.8653198	0.130462	0.00421808	0.86532	0.004218075	0.1346802	0.1304621	0.7401032
