Iteration	Posterior	Likelihood	Prior	biome_rates[1]	biome_rates[2]	biome_rates[3]	biome_rates[4]	birth	br_base	br_CW	br_TW	br_WC	br_WT	death	diversification	dr_base	endAge	rate_biome	rf_simplex[1]	rf_simplex[2]	rf_simplex[3]	rf_simplex[4]	rf_simplex[5]	rf_simplex[6]	rf_simplex[7]	rf_simplex[8]	rf_simplex[9]	rf_simplex[10]	rf_simplex[11]	rf_simplex[12]	rf_simplex[13]	rf_simplex[14]	rf_simplex[15]	rf_simplex[16]	rf_simplex[17]	rf_simplex[18]	root_age	tree_length	turnover	w_adj[1]	w_adj[2]	w_adj[3]	w_biome	w_graph[1]	w_graph[2]	w_graph[3]	w_land	w_not_biome	w_null	y_subdominant
0	-957.092	-101.493	-855.599	1	1	1	1	0.04	0.75	1	1	1	1	0.03	0.01	0.25	69.38825	0.03	0.107542	0.0932041	0.0892999	0.0929161	0.10412	0.140339	0.0247665	0.0881106	0.0871514	0.0887959	0.0125268	0.014073	0.0108661	0.00771541	0.00764287	0.00776794	0.0109077	0.0122541	69.38825	1758.837	0.75	0	0.1	1	0.9142857	0.0285714	0.0571429	0.914286	0.05714286	0.08571429	0.02857143	0.1
50	-912.01	-102.626	-809.383	0.567501	0.484451	0.829354	0.463831	0.1145026	0.9228479	0.4638312	0.8293544	0.4844506	0.5675007	0.06134473	0.0531579	0.07715213	69.38825	0.04269136	0.102658	0.0938298	0.09445	0.0958779	0.109442	0.125484	0.0456681	0.0630263	0.0638589	0.0642216	0.0186403	0.0202674	0.0171402	0.0152673	0.0154364	0.0155544	0.0186923	0.0204857	69.38825	1758.837	0.5357495	0	0.521653	1	0.770537	0.0420709	0.187392	0.770537	0.187392	0.229463	0.04207094	0.521653
100	-913.307	-103.462	-809.846	0.98246	0.620289	0.940291	0.642043	0.08381253	0.9026319	0.6420434	0.9402907	0.620289	0.9824602	0.02242166	0.06139086	0.0973681	69.38825	0.02028447	0.0895848	0.0843095	0.0858273	0.0889457	0.105144	0.146642	0.0749085	0.0867988	0.0886915	0.0910325	0.00877462	0.0112538	0.00570159	0.0052718	0.00537903	0.00551394	0.00746035	0.00876009	69.38825	1758.837	0.2675216	0	0.781328	1	0.9378451	0.053978	0.00817692	0.937845	0.008176922	0.06215491	0.05397799	0.7813277
150	-912.468	-101.704	-810.765	0.357473	0.694346	0.571303	0.866623	0.1003118	0.9497737	0.8666227	0.5713033	0.6943458	0.357473	0.02822639	0.07208539	0.05022633	69.38825	0.05670027	0.118487	0.10568	0.106025	0.109192	0.123692	0.146847	0.0323709	0.0644752	0.0653414	0.0668079	0.00986419	0.0111769	0.00674292	0.00563706	0.00570977	0.00583457	0.00762682	0.00848895	69.38825	1758.837	0.2813866	0	0.345437	1	0.891488	0.0757748	0.0327373	0.891488	0.03273727	0.108512	0.07577475	0.3454367
200	-914.602	-104.878	-809.724	0.51742	0.47381	0.913775	0.732441	0.1208394	0.8796192	0.7324414	0.9137755	0.4738098	0.51742	0.06607894	0.05476045	0.1203808	69.38825	0.04796709	0.106624	0.10268	0.103323	0.105079	0.118024	0.131866	0.0503084	0.057059	0.0576577	0.0576764	0.0204836	0.0213752	0.0108547	0.0102286	0.0103156	0.0103804	0.0126432	0.0134205	69.38825	1758.837	0.5468328	0	0.753056	1	0.7254247	0.0471572	0.227418	0.725425	0.2274181	0.2745753	0.04715723	0.7530562
250	-911.571	-101.717	-809.854	0.369372	0.957917	0.913385	0.849396	0.09311625	0.8385399	0.8493956	0.9133851	0.9579169	0.3693722	0.02996535	0.0631509	0.1614601	69.38825	0.04413545	0.135447	0.127558	0.123851	0.127559	0.133807	0.15613	0.00944782	0.0497885	0.049243	0.0501236	0.00494057	0.00520557	0.00497685	0.00385273	0.00381389	0.00387717	0.00505704	0.0053211	69.38825	1758.837	0.3218058	0	0.0745093	1	0.9320426	0.0327555	0.0352018	0.932043	0.03520184	0.06795737	0.03275553	0.07450926
300	-910.726	-100.919	-809.807	0.503469	0.636547	0.530914	0.712763	0.1248671	0.8771933	0.7127629	0.5309145	0.6365474	0.5034692	0.07702338	0.04784369	0.1228067	69.38825	0.04241897	0.110286	0.0950971	0.0926567	0.0969604	0.111243	0.145624	0.0282591	0.0852571	0.0853114	0.0875097	0.0106077	0.0123636	0.00704572	0.00502571	0.00502863	0.00514777	0.00789733	0.00867898	69.38825	1758.837	0.616843	0	0.171736	1	0.9353401	0.0586988	0.00596105	0.93534	0.005961052	0.06465986	0.05869881	0.1717362
350	-911.872	-101.948	-809.924	0.338336	0.13335	0.692126	0.21773	0.1210387	0.9026848	0.2177302	0.6921264	0.1333501	0.3383363	0.0733521	0.04768662	0.09731524	69.38825	0.05429467	0.127701	0.115682	0.113805	0.11691	0.128793	0.146032	0.0228374	0.0543315	0.0542299	0.0551142	0.0126858	0.0133537	0.00678722	0.00582855	0.00582097	0.00589209	0.00691806	0.00727717	69.38825	1758.837	0.6060218	0	0.187464	1	0.8296897	0.0603227	0.109988	0.82969	0.1099876	0.1703103	0.06032268	0.1874643
400	-912.25	-101.059	-811.191	0.252418	0.277202	0.554398	0.520304	0.1200154	0.9220909	0.5203041	0.5543979	0.2772016	0.2524179	0.08217321	0.03784215	0.07790909	69.38825	0.07581585	0.130768	0.11947	0.117585	0.12021	0.130357	0.148385	0.0210998	0.0524947	0.0524113	0.0530861	0.0112121	0.0117547	0.0056044	0.00458587	0.00457942	0.00463354	0.00571504	0.00604873	69.38825	1758.837	0.6846891	0	0.182907	1	0.8376473	0.0409059	0.121447	0.837647	0.1214468	0.1623527	0.04090593	0.1829073
450	-913.704	-102.836	-810.868	0.356901	0.102426	0.562712	0.728032	0.1307907	0.9378046	0.728032	0.5627119	0.102426	0.3569005	0.07022878	0.06056189	0.06219542	69.38825	0.05762488	0.108888	0.104155	0.105357	0.109005	0.127856	0.145866	0.0558137	0.0643818	0.0653804	0.0668501	0.0168951	0.018409	0.00169493	0.0015844	0.00160679	0.00164221	0.00222366	0.00239119	69.38825	1758.837	0.5369556	0	0.766039	1	0.827123	0.11772	0.0551571	0.827123	0.0551571	0.172877	0.1177199	0.7660386
