Iteration	Posterior	Likelihood	Prior	biome_rates[1]	biome_rates[2]	biome_rates[3]	biome_rates[4]	birth	br_base	br_CW	br_TW	br_WC	br_WT	death	diversification	dr_base	endAge	rate_biome	rf_simplex[1]	rf_simplex[2]	rf_simplex[3]	rf_simplex[4]	rf_simplex[5]	rf_simplex[6]	rf_simplex[7]	rf_simplex[8]	rf_simplex[9]	rf_simplex[10]	rf_simplex[11]	rf_simplex[12]	rf_simplex[13]	rf_simplex[14]	rf_simplex[15]	rf_simplex[16]	rf_simplex[17]	rf_simplex[18]	root_age	tree_length	turnover	w_adj[1]	w_adj[2]	w_adj[3]	w_biome	w_graph[1]	w_graph[2]	w_graph[3]	w_land	w_not_biome	w_null	y_subdominant
0	-988.029	-132.429	-855.599	1	1	1	1	0.04	0.75	1	1	1	1	0.03	0.01	0.25	69.38825	0.03	0.10234	0.0869161	0.0832722	0.0872243	0.101831	0.124346	0.0313451	0.0811343	0.0800742	0.0817743	0.0211306	0.0224432	0.0181128	0.0132694	0.0131351	0.0133591	0.0184155	0.0198772	69.38825	1758.837	0.75	0	0.1	1	0.8421053	0.0526316	0.105263	0.842105	0.1052632	0.1578947	0.05263158	0.1
50	-943.243	-133.496	-809.746	0.441028	0.544344	0.80809	0.118401	0.09730047	0.7599696	0.1184005	0.8080902	0.5443435	0.4410284	0.03523144	0.06206902	0.2400304	69.38825	0.04964863	0.0966841	0.0882271	0.0861736	0.0891775	0.098414	0.108456	0.0203672	0.0438801	0.0438843	0.0444778	0.0138564	0.0138482	0.0435253	0.0401981	0.0401992	0.0403672	0.0439013	0.0443623	69.38825	1758.837	0.3620892	0	0.150227	1	0.8191046	0.0961143	0.0847811	0.819105	0.08478114	0.1808954	0.09611426	0.150227
100	-945.153	-134.942	-810.21	0.527334	0.225592	0.586283	0.615842	0.1095671	0.8612766	0.6158417	0.586283	0.2255918	0.527334	0.045346	0.06422106	0.1387234	69.38825	0.06902769	0.119146	0.102872	0.098264	0.100865	0.111703	0.113103	0.0279053	0.0883237	0.0866941	0.0877232	0.017197	0.0147716	0.00634865	0.00464956	0.00457606	0.00460975	0.00593533	0.00531307	69.38825	1758.837	0.4138653	0	0.0766208	1	0.8582635	0.00629946	0.135437	0.858264	0.135437	0.1417365	0.00629946	0.07662079
150	-941.419	-132.007	-809.412	0.898319	0.653783	0.700875	0.729533	0.09455002	0.7798979	0.7295332	0.7008749	0.6537835	0.8983187	0.03006233	0.06448769	0.2201021	69.38825	0.02827749	0.0725987	0.0639449	0.0634672	0.0646937	0.0767027	0.0852345	0.0598095	0.0781273	0.0784505	0.0782029	0.0433537	0.043413	0.0332667	0.0282452	0.0283148	0.0284723	0.0356904	0.0380122	69.38825	1758.837	0.3179516	0	0.317209	1	0.6104027	0.0249284	0.364669	0.610403	0.3646689	0.3895973	0.02492839	0.3172089
200	-945.177	-135.673	-809.504	0.38755	0.702614	0.357228	0.35999	0.1206253	0.9258383	0.3599903	0.3572281	0.702614	0.3875503	0.07306622	0.04755903	0.07416171	69.38825	0.03590891	0.0649995	0.0636187	0.0640006	0.0658491	0.0791349	0.0873287	0.0645856	0.0676285	0.0680776	0.0685248	0.0275112	0.0283636	0.0382637	0.037157	0.0373449	0.0378552	0.0487823	0.0509741	69.38825	1758.837	0.6057291	0	0.889759	1	0.7236353	0.0981833	0.178181	0.723635	0.1781815	0.2763647	0.09818327	0.8897585
250	-945.953	-135.208	-810.745	0.582167	0.532633	0.954711	0.859226	0.1393198	0.8851799	0.8592262	0.9547115	0.5326332	0.5821672	0.08625785	0.05306199	0.1148201	69.38825	0.04314692	0.10212	0.0947777	0.0946499	0.095764	0.108154	0.11126	0.0442732	0.0558297	0.0559801	0.0562125	0.0345538	0.0347377	0.0190039	0.0171487	0.0171819	0.0172737	0.0204104	0.0206691	69.38825	1758.837	0.6191355	0	0.394799	1	0.5154154	0.225189	0.259395	0.515415	0.2593954	0.4845846	0.2251893	0.394799
300	-944.634	-135.015	-809.619	0.464423	0.464698	0.196543	0.323848	0.1182202	0.9054904	0.3238478	0.1965431	0.4646984	0.4644227	0.06555474	0.05266551	0.09450957	69.38825	0.04883253	0.0448649	0.0367941	0.0360763	0.0369479	0.0458911	0.0477053	0.0560153	0.0796451	0.0793228	0.0798612	0.052881	0.0530471	0.0639211	0.0519413	0.0518297	0.0520471	0.0652942	0.0659143	69.38825	1758.837	0.5545136	0	0.0756874	1	0.5824818	0.296815	0.120704	0.582482	0.1207035	0.4175182	0.2968147	0.07568742
350	-944.124	-134.258	-809.866	0.546717	0.491061	0.337383	0.975671	0.126976	0.8097926	0.9756713	0.337383	0.4910611	0.5467175	0.07467228	0.05230374	0.1902074	69.38825	0.0427016	0.0656449	0.0642465	0.0648864	0.0680734	0.0831122	0.113775	0.0979602	0.100934	0.101721	0.101495	0.0340862	0.0360395	0.00927656	0.00885642	0.00891415	0.00906774	0.0150684	0.0168427	69.38825	1758.837	0.5880817	0	0.902971	1	0.8281096	0.0280143	0.143876	0.82811	0.1438761	0.1718904	0.02801431	0.9029706
400	-946.127	-133.946	-812.181	0.311228	0.537551	0.477227	0.656917	0.1500186	0.8231728	0.6569169	0.4772273	0.5375512	0.3112282	0.09008331	0.05993534	0.1768272	69.38825	0.03729355	0.102075	0.0980485	0.0984599	0.100042	0.109743	0.124114	0.054222	0.0615688	0.0623572	0.0615037	0.0220665	0.0206055	0.0139398	0.0125797	0.0126993	0.0127263	0.0166365	0.0166121	69.38825	1758.837	0.6004808	0	0.695704	1	0.7535032	0.0105972	0.2359	0.753503	0.2358996	0.2464968	0.01059715	0.6957035
450	-945.347	-135.739	-809.608	0.60439	0.822371	0.266469	0.803263	0.09290609	0.785077	0.8032634	0.2664687	0.8223715	0.6043901	0.03265695	0.06024913	0.214923	69.38825	0.03737151	0.0526312	0.0471209	0.047072	0.0491347	0.0620963	0.0691019	0.0807516	0.0941532	0.095192	0.0958143	0.0544952	0.0549567	0.0325702	0.0266308	0.0268138	0.0270913	0.0417658	0.042608	69.38825	1758.837	0.351505	0	0.508727	1	0.7486252	0.17316	0.078215	0.748625	0.07821502	0.2513748	0.1731598	0.5087269
500	-944.59	-135.551	-809.039	0.953464	0.894664	0.505744	0.44488	0.1010561	0.6783025	0.4448803	0.5057441	0.8946639	0.9534638	0.03879806	0.06225803	0.3216975	69.38825	0.02632879	0.0488954	0.0426473	0.0420179	0.0433957	0.0522672	0.0562477	0.0538999	0.0708422	0.0711245	0.0713992	0.0444575	0.0439532	0.0623437	0.0547325	0.0548005	0.0550592	0.0654504	0.0664658	69.38825	1758.837	0.383926	0	0.241442	1	0.6648833	0.172552	0.162565	0.664883	0.1625648	0.3351167	0.1725519	0.2414421
