Iteration	Posterior	Likelihood	Prior	biome_rates[1]	biome_rates[2]	biome_rates[3]	biome_rates[4]	birth	br_base	br_CW	br_TW	br_WC	br_WT	death	diversification	dr_base	endAge	rate_biome	rf_simplex[1]	rf_simplex[2]	rf_simplex[3]	rf_simplex[4]	rf_simplex[5]	rf_simplex[6]	rf_simplex[7]	rf_simplex[8]	rf_simplex[9]	rf_simplex[10]	rf_simplex[11]	rf_simplex[12]	rf_simplex[13]	rf_simplex[14]	rf_simplex[15]	rf_simplex[16]	rf_simplex[17]	rf_simplex[18]	root_age	tree_length	turnover	w_adj[1]	w_adj[2]	w_adj[3]	w_biome	w_graph[1]	w_graph[2]	w_graph[3]	w_land	w_not_biome	w_null	y_subdominant
0	-1025.46	-169.863	-855.599	1	1	1	1	0.04	0.75	1	1	1	1	0.03	0.01	0.25	69.38825	0.03	0.10234	0.0869161	0.0832722	0.0872243	0.101831	0.124346	0.0313451	0.0811343	0.0800742	0.0817743	0.0211306	0.0224432	0.0181128	0.0132694	0.0131351	0.0133591	0.0184155	0.0198772	69.38825	1758.837	0.75	0	0.1	1	0.8421053	0.0526316	0.105263	0.842105	0.1052632	0.1578947	0.05263158	0.1
50	-972.319	-162.407	-809.912	0.451909	0.517342	0.740665	0.762214	0.09555915	0.8245376	0.7622145	0.7406646	0.5173415	0.4519086	0.02467168	0.07088747	0.1754624	69.38825	0.02667908	0.0913338	0.0907206	0.0908017	0.0916353	0.0992671	0.100875	0.0526444	0.0536181	0.0536814	0.0534483	0.0404213	0.0400922	0.022715	0.0224561	0.0224704	0.0225689	0.0255508	0.0256998	69.38825	1758.837	0.2581822	0	0.905294	1	0.3971937	0.256307	0.346499	0.397194	0.3464989	0.6028063	0.2563074	0.9052936
100	-976.382	-165.755	-810.626	0.750637	0.728652	0.243779	0.647248	0.07967138	0.7869038	0.6472477	0.2437789	0.7286516	0.7506368	0.01731155	0.06235983	0.2130962	69.38825	0.02382928	0.0239453	0.0235525	0.0235501	0.0235579	0.0242159	0.0242273	0.0692813	0.0707968	0.0708044	0.0708052	0.0682419	0.0682404	0.0734411	0.0723132	0.0723156	0.0723177	0.0741944	0.074199	69.38825	1758.837	0.217287	0	0.394684	1	0.1150785	0.865461	0.01946	0.115079	0.01945998	0.8849215	0.8654615	0.3946841
150	-973.354	-162.267	-811.087	0.374798	0.530332	0.259323	0.603523	0.1075455	0.898646	0.6035226	0.2593232	0.5303323	0.3747976	0.03343577	0.07410974	0.101354	69.38825	0.04975463	0.0594335	0.0545621	0.0543898	0.0548726	0.0621659	0.0631727	0.0631336	0.07392	0.0740287	0.0741405	0.0570137	0.0569647	0.0436374	0.0385217	0.0385561	0.0386456	0.0463124	0.0465293	69.38825	1758.837	0.3108988	0	0.299673	1	0.4335638	0.396355	0.170082	0.433564	0.1700815	0.5664362	0.3963547	0.2996727
200	-973.428	-163.365	-810.063	0.579951	0.498599	0.501953	0.6056	0.08671473	0.6785746	0.6055997	0.5019529	0.4985994	0.5799506	0.03023414	0.05648058	0.3214254	69.38825	0.03362815	0.0843777	0.0746338	0.0725502	0.0752158	0.0863342	0.0963027	0.0510317	0.0752994	0.0751353	0.0754513	0.0431025	0.0411811	0.0269991	0.0216584	0.0216381	0.0217783	0.0281275	0.0291828	69.38825	1758.837	0.3486622	0	0.107076	1	0.6852912	0.0738937	0.240815	0.685291	0.2408151	0.3147088	0.07389367	0.1070761
250	-972.371	-163.565	-808.806	0.981926	0.647219	0.609117	0.913028	0.09540367	0.8529712	0.9130285	0.6091173	0.6472185	0.9819262	0.04345689	0.05194678	0.1470288	69.38825	0.01641323	0.0454087	0.045015	0.0450141	0.0450166	0.0455553	0.0455601	0.0713686	0.0721858	0.0721861	0.0721856	0.0710647	0.0710604	0.0498874	0.0494671	0.0494672	0.0494683	0.0500429	0.0500462	69.38825	1758.837	0.4555054	0	0.263751	1	0.03851199	0.875947	0.085541	0.038512	0.08554099	0.961488	0.875947	0.2637512
300	-975.179	-164.708	-810.472	0.559917	0.146627	0.556634	0.875097	0.08778863	0.9282616	0.8750966	0.556634	0.1466275	0.5599169	0.03851427	0.04927436	0.07173842	69.38825	0.03438696	0.0769017	0.0767249	0.0767247	0.0767271	0.0769748	0.0769837	0.0769129	0.0771246	0.0771245	0.0771223	0.0768264	0.0768174	0.0128517	0.0128176	0.0128175	0.0128178	0.0128648	0.0128656	69.38825	1758.837	0.438716	0	0.261902	1	0.008624022	0.39552	0.595856	0.00862402	0.5958559	0.991376	0.3955201	0.2619019
350	-970.54	-161.917	-808.623	0.930617	0.529701	0.687193	0.615957	0.1033451	0.8439381	0.6159565	0.6871931	0.5297008	0.9306165	0.05041606	0.05292901	0.1560619	69.38825	0.02005553	0.0474634	0.0474569	0.0474569	0.0474591	0.0475417	0.0475443	0.0642311	0.0642437	0.0642437	0.0642384	0.0640771	0.0640707	0.0549722	0.0549661	0.0549661	0.0549692	0.0550478	0.0550517	69.38825	1758.837	0.487842	0	0.917122	1	0.005557647	0.460641	0.533801	0.00555765	0.5338012	0.9944424	0.4606412	0.9171216
400	-974.185	-164.027	-810.158	0.581046	0.952523	0.484887	0.990166	0.08988642	0.633704	0.9901658	0.4848873	0.9525234	0.5810456	0.01942936	0.07045706	0.366296	69.38825	0.02759653	0.0692924	0.0662108	0.0661957	0.0675079	0.075201	0.0789919	0.0637778	0.0706598	0.0711004	0.0708108	0.0498649	0.0486816	0.0333806	0.0301775	0.0302577	0.0305269	0.0383691	0.0389932	69.38825	1758.837	0.2161545	0	0.536933	1	0.5934437	0.169233	0.237324	0.593444	0.2373235	0.4065563	0.1692328	0.5369333
450	-971.157	-161.932	-809.225	0.792626	0.63209	0.385912	0.985959	0.09613457	0.8262377	0.9859587	0.3859122	0.6320896	0.7926264	0.04543096	0.05070361	0.1737623	69.38825	0.02410634	0.0488656	0.0452831	0.0452372	0.0457271	0.0532725	0.0543586	0.0801506	0.0876336	0.0878305	0.0878764	0.0707587	0.0706497	0.0374042	0.0339057	0.0339499	0.0340733	0.0413651	0.0416584	69.38825	1758.837	0.4725767	0	0.475097	1	0.4250966	0.355014	0.219889	0.425097	0.2198894	0.5749034	0.355014	0.4750967
