Iteration	Posterior	Likelihood	Prior	biome_rates[1]	biome_rates[2]	biome_rates[3]	biome_rates[4]	birth	br_base	br_CW	br_TW	br_WC	br_WT	death	diversification	dr_base	endAge	rate_biome	rf_simplex[1]	rf_simplex[2]	rf_simplex[3]	rf_simplex[4]	rf_simplex[5]	rf_simplex[6]	rf_simplex[7]	rf_simplex[8]	rf_simplex[9]	rf_simplex[10]	rf_simplex[11]	rf_simplex[12]	rf_simplex[13]	rf_simplex[14]	rf_simplex[15]	rf_simplex[16]	rf_simplex[17]	rf_simplex[18]	root_age	tree_length	turnover	w_adj[1]	w_adj[2]	w_adj[3]	w_biome	w_graph[1]	w_graph[2]	w_graph[3]	w_land	w_not_biome	w_null	y_subdominant
0	-1016.54	-160.945	-855.599	1	1	1	1	0.04	0.75	1	1	1	1	0.03	0.01	0.25	69.38825	0.03	0.10234	0.0869161	0.0832722	0.0872243	0.101831	0.124346	0.0313451	0.0811343	0.0800742	0.0817743	0.0211306	0.0224432	0.0181128	0.0132694	0.0131351	0.0133591	0.0184155	0.0198772	69.38825	1758.837	0.75	0	0.1	1	0.8421053	0.0526316	0.105263	0.842105	0.1052632	0.1578947	0.05263158	0.1
50	-969.854	-159.916	-809.938	0.722232	0.427585	0.187731	0.471594	0.1129817	0.9235663	0.4715939	0.1877315	0.4275846	0.7222316	0.0579789	0.05500281	0.07643367	69.38825	0.07628409	0.0314718	0.0252147	0.0248917	0.025212	0.0315966	0.0325345	0.0729447	0.0936731	0.0932803	0.0936101	0.0713717	0.0711484	0.061066	0.0491492	0.04901	0.0491609	0.0616807	0.0629838	69.38825	1758.837	0.5131707	0	0.0113379	1	0.4408308	0.108341	0.450828	0.440831	0.4508281	0.5591692	0.1083411	0.0113379
100	-969.367	-159.823	-809.544	0.464981	0.905233	0.323649	0.988071	0.1146991	0.8202216	0.9880714	0.3236486	0.9052332	0.4649806	0.05122477	0.06347433	0.1797784	69.38825	0.03167237	0.0608045	0.0552974	0.0548851	0.0556758	0.0629077	0.0659695	0.0602759	0.0746344	0.074693	0.0746177	0.0541594	0.05318	0.0448714	0.0378213	0.0378403	0.0379482	0.0469013	0.0475171	69.38825	1758.837	0.4466013	0	0.183266	1	0.4648605	0.0902227	0.444917	0.46486	0.4449168	0.5351395	0.09022271	0.1832663
150	-968.559	-158.573	-809.987	0.891284	0.583126	0.245086	0.650236	0.0960842	0.8505224	0.6502361	0.2450862	0.5831262	0.8912837	0.029621	0.0664632	0.1494776	69.38825	0.04606381	0.0311759	0.0261839	0.0258869	0.0262091	0.0315712	0.0327455	0.0747893	0.091346	0.0911355	0.0912204	0.0719908	0.0710964	0.0599846	0.0502305	0.0501635	0.0502933	0.0611528	0.0628245	69.38825	1758.837	0.3082816	0	0.040121	1	0.4095602	0.0482461	0.542194	0.40956	0.5421936	0.5904398	0.04824614	0.04012098
200	-971.884	-161.398	-810.486	0.417731	0.40006	0.0565398	0.780871	0.09938966	0.8411871	0.7808715	0.05653982	0.4000601	0.4177309	0.02961878	0.06977087	0.1588129	69.38825	0.05779385	0.0208206	0.017449	0.0170835	0.0175498	0.0213858	0.0235826	0.100148	0.116835	0.116669	0.116664	0.097203	0.0951716	0.0450432	0.0333974	0.0333681	0.0334613	0.0462583	0.0479103	69.38825	1758.837	0.2980067	0	0.012307	1	0.4712669	0.0386333	0.4901	0.471267	0.4900998	0.5287331	0.03863331	0.01230702
250	-969.752	-160.094	-809.658	0.674243	0.442444	0.0733173	0.629342	0.09884467	0.8899994	0.6293419	0.07331734	0.4424437	0.6742433	0.03778302	0.06106165	0.1100006	69.38825	0.04947446	0.0137195	0.0117258	0.0116443	0.0117362	0.0138545	0.0141925	0.0920082	0.103896	0.103815	0.103839	0.0909096	0.0900489	0.0607127	0.0513386	0.051314	0.0513757	0.0614442	0.0624252	69.38825	1758.837	0.3822464	0	0.00406192	1	0.3191598	0.0850314	0.595809	0.31916	0.5958088	0.6808402	0.08503139	0.004061922
300	-970.774	-160.589	-810.186	0.951771	0.617611	0.122452	0.470887	0.1196759	0.8770567	0.4708868	0.1224521	0.6176114	0.951771	0.06038007	0.05929586	0.1229433	69.38825	0.06587742	0.0158029	0.0123453	0.0121446	0.0123514	0.0159726	0.0165798	0.0706704	0.0918095	0.0916338	0.0916873	0.0669877	0.0655041	0.0796497	0.0635148	0.0634431	0.0636468	0.0817542	0.0845021	69.38825	1758.837	0.5045297	0	0.0412553	1	0.4960005	0.0338048	0.470195	0.496001	0.4701947	0.5039995	0.03380477	0.04125526
350	-973.375	-163.255	-810.12	0.343508	0.196135	0.0931477	0.348335	0.1117527	0.9141527	0.348335	0.09314771	0.1961353	0.3435078	0.05975616	0.05199652	0.08584732	69.38825	0.09173131	0.0319523	0.0282299	0.0280435	0.0282572	0.0322421	0.0329453	0.0882911	0.0988155	0.0987006	0.0987737	0.0873044	0.0866202	0.0460186	0.0400686	0.0400445	0.0400949	0.0464965	0.0471012	69.38825	1758.837	0.5347179	0	0.00767993	1	0.3119112	0.187266	0.500823	0.311911	0.5008228	0.6880888	0.187266	0.007679926
400	-970.282	-160.142	-810.14	0.892082	0.601949	0.21764	0.2249	0.1304277	0.759989	0.2249001	0.2176401	0.6019495	0.8920823	0.07971188	0.0507158	0.240011	69.38825	0.04673038	0.0377139	0.0275874	0.024924	0.0270012	0.0355533	0.046849	0.0462313	0.0986051	0.0967827	0.0979487	0.0387397	0.0364384	0.0711202	0.0530472	0.0526203	0.0530532	0.0725479	0.0832365	69.38825	1758.837	0.6111577	0	0.00217411	1	0.8201348	0.0160216	0.163844	0.820135	0.1638435	0.1798652	0.01602161	0.002174109
450	-969.08	-159.317	-809.763	0.230846	0.79346	0.15311	0.798671	0.09298883	0.8090848	0.7986706	0.1531099	0.79346	0.230846	0.03989313	0.0530957	0.1909152	69.38825	0.03845267	0.0499786	0.0478628	0.0477097	0.0479533	0.050447	0.0520355	0.0601971	0.0685522	0.0685258	0.068449	0.0590363	0.0576702	0.0563068	0.0505594	0.0505493	0.0505567	0.0566494	0.0569609	69.38825	1758.837	0.42901	0	0.000921944	1	0.2777785	0.0403319	0.68189	0.277778	0.6818896	0.7222215	0.04033194	0.0009219443
