Iteration	Posterior	Likelihood	Prior	biome_rates[1]	biome_rates[2]	biome_rates[3]	biome_rates[4]	birth	br_base	br_CW	br_TW	br_WC	br_WT	death	diversification	dr_base	endAge	rate_biome	rf_simplex[1]	rf_simplex[2]	rf_simplex[3]	rf_simplex[4]	rf_simplex[5]	rf_simplex[6]	rf_simplex[7]	rf_simplex[8]	rf_simplex[9]	rf_simplex[10]	rf_simplex[11]	rf_simplex[12]	rf_simplex[13]	rf_simplex[14]	rf_simplex[15]	rf_simplex[16]	rf_simplex[17]	rf_simplex[18]	root_age	tree_length	turnover	w_adj[1]	w_adj[2]	w_adj[3]	w_biome	w_graph[1]	w_graph[2]	w_graph[3]	w_land	w_not_biome	w_null	y_subdominant
0	-968.189	-112.59	-855.599	1	1	1	1	0.04	0.75	1	1	1	1	0.03	0.01	0.25	69.38825	0.03	0.107542	0.0932041	0.0892999	0.0929161	0.10412	0.140339	0.0247665	0.0881106	0.0871514	0.0887959	0.0125268	0.014073	0.0108661	0.00771541	0.00764287	0.00776794	0.0109077	0.0122541	69.38825	1758.837	0.75	0	0.1	1	0.9142857	0.0285714	0.0571429	0.914286	0.05714286	0.08571429	0.02857143	0.1
50	-923.059	-113.869	-809.19	0.462927	0.706671	0.559891	0.859786	0.1152608	0.8678181	0.8597864	0.5598913	0.7066711	0.4629271	0.0678242	0.04743655	0.1321819	69.38825	0.0290401	0.100421	0.0889867	0.088339	0.0910767	0.106769	0.119684	0.0441699	0.0690853	0.069651	0.0704857	0.0259262	0.0267352	0.0172924	0.0137849	0.0138762	0.0140531	0.019416	0.0202475	69.38825	1758.837	0.5884414	0	0.320387	1	0.763886	0.100858	0.135256	0.763886	0.1352556	0.236114	0.1008584	0.3203871
100	-923.553	-113.856	-809.697	0.846897	0.87978	0.665102	0.647142	0.1348151	0.7995842	0.6471422	0.6651019	0.8797802	0.8468971	0.0870067	0.04780839	0.2004158	69.38825	0.02252279	0.0711591	0.0670604	0.0676672	0.0699357	0.0842571	0.10441	0.0740901	0.0825885	0.0837677	0.0839769	0.0264408	0.0281239	0.0242286	0.0221335	0.0223651	0.0227003	0.0309624	0.0341327	69.38825	1758.837	0.645378	0	0.748678	1	0.8078159	0.0421571	0.150027	0.807816	0.150027	0.1921841	0.0421571	0.7486776
150	-922.971	-113.957	-809.014	0.624659	0.925127	0.303067	0.900736	0.1018876	0.864082	0.9007357	0.3030666	0.9251271	0.6246588	0.03901968	0.06286793	0.135918	69.38825	0.02499022	0.0546666	0.0520933	0.0527163	0.0560722	0.0765489	0.0919522	0.0946423	0.100633	0.101852	0.104188	0.0391873	0.0419155	0.0182196	0.0168485	0.0170161	0.0173593	0.0312894	0.032799	69.38825	1758.837	0.3829679	0	0.834928	1	0.8449158	0.14391	0.0111741	0.844916	0.01117406	0.1550842	0.1439102	0.8349284
200	-920.899	-111.702	-809.197	0.896837	0.723236	0.648872	0.71732	0.09549476	0.8497961	0.7173198	0.6488722	0.7232363	0.8968371	0.04046251	0.05503225	0.1502039	69.38825	0.02797497	0.0945559	0.0786776	0.0781705	0.0797898	0.0911217	0.142756	0.0499607	0.103955	0.105833	0.106859	0.00986808	0.0128111	0.00807788	0.00588286	0.00598118	0.00604024	0.00880429	0.0108549	69.38825	1758.837	0.4237145	0	0.300356	1	0.944631	0.0236535	0.0317155	0.944631	0.03171548	0.05536899	0.02365351	0.3003557
250	-921.486	-111.608	-809.878	0.949344	0.701307	0.620255	0.666264	0.09022614	0.8710412	0.6662638	0.6202549	0.7013072	0.9493442	0.0392665	0.05095964	0.1289588	69.38825	0.02921131	0.0690679	0.0676082	0.0683882	0.0712696	0.0874187	0.132586	0.0977426	0.102098	0.103279	0.105381	0.0142214	0.01835	0.00860221	0.00835011	0.00843787	0.00862668	0.0128572	0.0157147	69.38825	1758.837	0.4352009	0	0.921284	1	0.9233608	0.0391619	0.0374773	0.923361	0.03747733	0.07663924	0.0391619	0.9212837
300	-926.48	-115.843	-810.636	0.757213	0.674297	0.75049	0.36192	0.1196784	0.8886661	0.3619196	0.7504903	0.6742971	0.757213	0.05130869	0.06836974	0.1113339	69.38825	0.04073157	0.08351	0.070329	0.0691862	0.0715496	0.0877024	0.0958782	0.03698	0.0676364	0.0673988	0.068735	0.0261128	0.0272626	0.0404531	0.0337578	0.0336807	0.0341524	0.0421491	0.0435259	69.38825	1758.837	0.4287213	0	0.198404	1	0.7450097	0.160106	0.0948839	0.74501	0.09488388	0.2549903	0.1601065	0.1984041
350	-919.659	-110.27	-809.39	0.808062	0.674437	0.720034	0.699653	0.09539163	0.893145	0.699653	0.720034	0.6744371	0.8080621	0.03585741	0.05953422	0.106855	69.38825	0.0347424	0.099038	0.0875509	0.0890292	0.0895017	0.0966417	0.147561	0.0664907	0.0960091	0.0988767	0.0991295	0.00428227	0.00570006	0.00329743	0.00274353	0.00282312	0.0028314	0.00382063	0.00467295	69.38825	1758.837	0.3758969	0	0.560464	1	0.9704834	0.0150256	0.014491	0.970483	0.01449097	0.02951658	0.01502561	0.5604641
400	-921.614	-111.621	-809.993	0.296892	0.664239	0.275756	0.552868	0.133369	0.893012	0.5528683	0.2757557	0.6642391	0.2968919	0.08039976	0.05296924	0.106988	69.38825	0.03202757	0.108165	0.102465	0.103086	0.102369	0.10409	0.0467114	0.0952421	0.107615	0.109698	0.109203	0.001957	0.000856452	0.00159991	0.00141494	0.00144205	0.00143612	0.00186281	0.000785615	69.38825	1758.837	0.6028369	0	0.779416	1	0.9890632	0.00174377	0.00919304	0.989063	0.009193041	0.01093681	0.00174377	0.7794159
450	-919.962	-111.003	-808.959	0.6266	0.932961	0.345821	0.781758	0.1010569	0.84805	0.7817579	0.3458208	0.9329614	0.6266001	0.04332792	0.05772902	0.15195	69.38825	0.02805742	0.0739454	0.0708718	0.0713097	0.0716391	0.0754388	0.106924	0.119898	0.126473	0.12792	0.127855	0.00420837	0.00432482	0.00280356	0.00259072	0.00261981	0.00262298	0.0043481	0.00420638	69.38825	1758.837	0.4287476	0	0.872838	1	0.9828701	0.00422818	0.0129017	0.98287	0.01290175	0.01712993	0.004228179	0.872838
