Iteration	Posterior	Likelihood	Prior	biome_rates[1]	biome_rates[2]	biome_rates[3]	biome_rates[4]	birth	br_base	br_CW	br_TW	br_WC	br_WT	death	diversification	dr_base	endAge	rate_biome	rf_simplex[1]	rf_simplex[2]	rf_simplex[3]	rf_simplex[4]	rf_simplex[5]	rf_simplex[6]	rf_simplex[7]	rf_simplex[8]	rf_simplex[9]	rf_simplex[10]	rf_simplex[11]	rf_simplex[12]	rf_simplex[13]	rf_simplex[14]	rf_simplex[15]	rf_simplex[16]	rf_simplex[17]	rf_simplex[18]	root_age	tree_length	turnover	w_adj[1]	w_adj[2]	w_adj[3]	w_biome	w_graph[1]	w_graph[2]	w_graph[3]	w_land	w_not_biome	w_null	y_subdominant
0	-975.714	-120.114	-855.599	1	1	1	1	0.04	0.75	1	1	1	1	0.03	0.01	0.25	69.38825	0.03	0.107542	0.0932041	0.0892999	0.0929161	0.10412	0.140339	0.0247665	0.0881106	0.0871514	0.0887959	0.0125268	0.014073	0.0108661	0.00771541	0.00764287	0.00776794	0.0109077	0.0122541	69.38825	1758.837	0.75	0	0.1	1	0.9142857	0.0285714	0.0571429	0.914286	0.05714286	0.08571429	0.02857143	0.1
50	-928.667	-118.858	-809.809	0.337595	0.60562	0.804795	0.672175	0.113553	0.9321167	0.6721748	0.8047946	0.6056198	0.3375947	0.06569828	0.04785472	0.06788327	69.38825	0.0561562	0.133467	0.122478	0.118207	0.121537	0.130356	0.142853	0.0120481	0.0503864	0.0490801	0.0501308	0.00987343	0.0102383	0.0090369	0.00756548	0.0073843	0.00752586	0.00873483	0.00909725	69.38825	1758.837	0.5785693	0	0.0319711	1	0.8340495	0.0290086	0.136942	0.834049	0.1369419	0.1659505	0.02900859	0.03197106
100	-928.692	-119.388	-809.303	0.356013	0.885575	0.39116	0.625932	0.0979832	0.9243375	0.625932	0.3911599	0.8855747	0.3560132	0.04419336	0.05378984	0.07566248	69.38825	0.03398997	0.0808789	0.0705791	0.0691339	0.0703857	0.080336	0.0851034	0.0355054	0.061977	0.0613149	0.0618118	0.033704	0.033898	0.0469936	0.0383049	0.0379794	0.0381995	0.04639	0.0475046	69.38825	1758.837	0.45103	0	0.0127051	1	0.5697469	0.0499701	0.380283	0.569747	0.380283	0.4302531	0.04997011	0.01270513
150	-928.761	-119.522	-809.239	0.385433	0.469486	0.55607	0.656885	0.1131804	0.9095169	0.6568851	0.5560698	0.4694861	0.385433	0.06040972	0.05277064	0.09048315	69.38825	0.03778069	0.0978134	0.0885137	0.087773	0.0886384	0.0991263	0.103281	0.0424796	0.0596204	0.0594749	0.0595377	0.0364182	0.0362	0.0250579	0.0216548	0.0216151	0.0216508	0.0253984	0.0257458	69.38825	1758.837	0.5337474	0	0.170461	1	0.4986151	0.0285917	0.472793	0.498615	0.4727931	0.5013849	0.02859174	0.1704606
200	-928.533	-119.27	-809.263	0.694329	0.877396	0.859941	0.678942	0.1141824	0.9353495	0.6789418	0.8599413	0.8773963	0.6943291	0.05494426	0.05923809	0.06465045	69.38825	0.03297641	0.113498	0.108853	0.109822	0.109857	0.117056	0.0330374	0.0790292	0.0874392	0.0884803	0.0881285	0.00871456	0.00234359	0.010264	0.00973199	0.00984382	0.0098131	0.0111211	0.00296688	69.38825	1758.837	0.4811975	0	0.841979	1	0.9139355	0.00220203	0.0838625	0.913936	0.08386246	0.0860645	0.002202035	0.8419789
250	-927.536	-117.838	-809.698	0.377006	0.533719	0.381446	0.498273	0.1157101	0.922066	0.4982725	0.3814462	0.5337189	0.3770061	0.0648667	0.05084342	0.07793403	69.38825	0.05520304	0.0940749	0.0852059	0.0863381	0.0893088	0.105159	0.135904	0.0609246	0.0810639	0.0830895	0.084578	0.0139162	0.016034	0.0101535	0.0086223	0.00881732	0.00897818	0.0131347	0.0146977	69.38825	1758.837	0.5605966	0	0.589271	1	0.9023367	0.059924	0.0377393	0.902337	0.03773925	0.0976633	0.05992404	0.5892711
300	-928.825	-118.06	-810.766	0.366797	0.908126	0.650032	0.806159	0.07827547	0.9014775	0.8061588	0.6500321	0.9081257	0.366797	0.01999242	0.05828305	0.09852246	69.38825	0.02095626	0.126316	0.126198	0.12635	0.126763	0.127996	0.0778374	0.0708092	0.0711486	0.0712432	0.0713773	0.000639828	0.000435152	0.000492346	0.000491472	0.000492122	0.000493066	0.000553729	0.000363456	69.38825	1758.837	0.255411	0	0.993415	1	0.9938693	0.00352742	0.00260332	0.993869	0.002603318	0.006130738	0.00352742	0.993415
350	-930.116	-120.618	-809.498	0.694405	0.820984	0.456261	0.759133	0.1030257	0.9091319	0.7591333	0.4562613	0.8209843	0.6944054	0.05475278	0.04827297	0.09086808	69.38825	0.03692808	0.0554078	0.0483434	0.0479154	0.0483328	0.0555204	0.0567454	0.0541811	0.0716806	0.0713806	0.0716355	0.0532216	0.0531582	0.0559574	0.0479475	0.0478017	0.0479313	0.0560762	0.056763	69.38825	1758.837	0.5314475	0	0.00900434	1	0.3930086	0.11916	0.487831	0.393009	0.4878314	0.6069914	0.11916	0.009004339
400	-929.224	-118.493	-810.731	0.395848	0.549196	0.270681	0.671494	0.1175394	0.9643243	0.6714937	0.2706811	0.5491956	0.3958476	0.07743457	0.04010481	0.03567573	69.38825	0.0665696	0.0723902	0.0589179	0.0577563	0.0586788	0.0715712	0.0671232	0.0530567	0.0842778	0.083236	0.083957	0.0499683	0.0454091	0.0410177	0.0319287	0.0315742	0.0318048	0.040334	0.0369983	69.38825	1758.837	0.6587968	0	0.027331	1	0.5404318	0.0347163	0.424852	0.540432	0.424852	0.4595682	0.03471625	0.02733104
450	-930.027	-120.16	-809.867	0.386357	0.498383	0.475775	0.744351	0.1182858	0.9402417	0.7443514	0.4757751	0.498383	0.3863571	0.07470141	0.04358442	0.05975828	69.38825	0.0411708	0.108621	0.0903673	0.0875664	0.0908852	0.110377	0.117421	0.032571	0.0694155	0.0680899	0.0698293	0.0291941	0.0303471	0.0178791	0.0134456	0.0132261	0.0135149	0.0183514	0.0188982	69.38825	1758.837	0.631533	0	0.0643451	1	0.7178697	0.259737	0.0223932	0.71787	0.0223932	0.2821303	0.2597371	0.06434514
500	-929.949	-119.56	-810.389	0.898772	0.935666	0.747946	0.565074	0.1223494	0.89646	0.5650739	0.7479457	0.9356655	0.8987725	0.08417983	0.03816952	0.10354	69.38825	0.03491518	0.0906379	0.0724883	0.0698418	0.0734658	0.0926887	0.108719	0.0307061	0.0833568	0.0817639	0.0845252	0.0216558	0.0239218	0.0308484	0.0232207	0.0228567	0.0234951	0.0317822	0.0340255	69.38825	1758.837	0.6880284	0	0.103098	1	0.8369531	0.117472	0.0455753	0.836953	0.04557534	0.1630469	0.1174715	0.1030978
550	-930.977	-120.687	-810.29	0.403781	0.628667	0.268379	0.880362	0.141197	0.9429702	0.8803625	0.2683786	0.6286675	0.4037806	0.08961337	0.05158358	0.05702979	69.38825	0.02481392	0.0669531	0.0593319	0.0594223	0.0608255	0.0768643	0.0836007	0.071433	0.0864001	0.0870306	0.0875421	0.047421	0.048929	0.0273782	0.0231524	0.0233019	0.0235107	0.0327686	0.0341348	69.38825	1758.837	0.6346693	0	0.500033	1	0.6291611	0.107187	0.263652	0.629161	0.2636521	0.3708389	0.1071868	0.5000332
