Iteration	Posterior	Likelihood	Prior	biome_rates[1]	biome_rates[2]	biome_rates[3]	biome_rates[4]	birth	br_base	br_CW	br_TW	br_WC	br_WT	death	diversification	dr_base	endAge	rate_biome	rf_simplex[1]	rf_simplex[2]	rf_simplex[3]	rf_simplex[4]	rf_simplex[5]	rf_simplex[6]	rf_simplex[7]	rf_simplex[8]	rf_simplex[9]	rf_simplex[10]	rf_simplex[11]	rf_simplex[12]	rf_simplex[13]	rf_simplex[14]	rf_simplex[15]	rf_simplex[16]	rf_simplex[17]	rf_simplex[18]	root_age	tree_length	turnover	w_biome	w_graph[1]	w_graph[2]	w_graph[3]	w_land	w_not_biome	w_null
0	-1032.29	-177.785	-854.501	1	1	1	1	0.04	0.75	1	1	1	1	0.03	0.01	0.25	69.38825	0.01	0.0555556	0.0555556	0.0555556	0.0555556	0.0555556	0.0555556	0.0555556	0.0555556	0.0555556	0.0555556	0.0555556	0.0555556	0.0555556	0.0555556	0.0555556	0.0555556	0.0555556	0.0555556	69.38825	1758.837	0.75	0.8421053	0.0526316	0.105263	0.842105	0.1052632	0.1578947	0.05263158
50	-979.893	-170.325	-809.569	0.0662762	0.780331	0.287194	0.730136	0.1188373	0.8860535	0.7301361	0.2871944	0.7803311	0.06627617	0.05755224	0.06128504	0.1139465	69.38825	0.03217718	0.11281	0.11281	0.11281	0.11281	0.11281	0.11281	0.0260333	0.0260333	0.0260333	0.0260333	0.0260333	0.0260333	0.0278231	0.0278231	0.0278231	0.0278231	0.0278231	0.0278231	69.38825	1758.837	0.4842945	0.4282675	0.409754	0.161978	0.428267	0.1619783	0.5717325	0.4097542
100	-979.129	-168.926	-810.202	0.455667	0.718124	0.269424	0.967185	0.1044884	0.9114264	0.9671855	0.2694243	0.7181238	0.4556666	0.03303129	0.07145709	0.08857365	69.38825	0.0337733	0.0422261	0.0422261	0.0422261	0.0422261	0.0422261	0.0422261	0.0714154	0.0714154	0.0714154	0.0714154	0.0714154	0.0714154	0.0530251	0.0530251	0.0530251	0.0530251	0.0530251	0.0530251	69.38825	1758.837	0.3161241	0.1210513	0.0450371	0.833912	0.121051	0.8339116	0.8789487	0.04503711
150	-980.923	-170.122	-810.801	0.81431	0.516301	0.159546	0.670842	0.1380755	0.9578049	0.6708418	0.1595464	0.5163009	0.8143102	0.08495472	0.05312082	0.0421951	69.38825	0.05030436	0.0166134	0.0166134	0.0166134	0.0166134	0.0166134	0.0166134	0.0847935	0.0847935	0.0847935	0.0847935	0.0847935	0.0847935	0.0652597	0.0652597	0.0652597	0.0652597	0.0652597	0.0652597	69.38825	1758.837	0.6152771	0.14363	0.757184	0.0991861	0.14363	0.09918606	0.85637	0.7571839
200	-979.724	-170.475	-809.249	0.688313	0.659946	0.58142	0.96576	0.1005953	0.9232065	0.9657602	0.5814204	0.659946	0.6883133	0.039917	0.06067831	0.07679354	69.38825	0.03461471	0.0556888	0.0556888	0.0556888	0.0556888	0.0556888	0.0556888	0.0659271	0.0659271	0.0659271	0.0659271	0.0659271	0.0659271	0.0450508	0.0450508	0.0450508	0.0450508	0.0450508	0.0450508	69.38825	1758.837	0.3968078	0.6713564	0.271258	0.0573854	0.671356	0.0573854	0.3286436	0.2712582
250	-979.36	-169.086	-810.274	0.472665	0.486997	0.162855	0.430219	0.09239454	0.9432055	0.4302186	0.1628547	0.4869973	0.4726652	0.04216019	0.05023435	0.05679454	69.38825	0.05003783	0.0231875	0.0231875	0.0231875	0.0231875	0.0231875	0.0231875	0.0672987	0.0672987	0.0672987	0.0672987	0.0672987	0.0672987	0.0761805	0.0761805	0.0761805	0.0761805	0.0761805	0.0761805	69.38825	1758.837	0.4563061	0.2925698	0.464733	0.242697	0.29257	0.2426973	0.7074302	0.464733
300	-980.888	-170.441	-810.447	0.218216	0.8328	0.422689	0.606918	0.1427026	0.8872769	0.6069176	0.4226889	0.8328004	0.2182158	0.09331205	0.04939053	0.1127231	69.38825	0.02698319	0.0749181	0.0749181	0.0749181	0.0749181	0.0749181	0.0749181	0.0386769	0.0386769	0.0386769	0.0386769	0.0386769	0.0386769	0.0530717	0.0530717	0.0530717	0.0530717	0.0530717	0.0530717	69.38825	1758.837	0.6538918	0.5316499	0.301986	0.166364	0.53165	0.166364	0.4683501	0.3019861
350	-985.871	-174.56	-811.311	0.930979	0.390416	0.637137	0.697205	0.08049476	0.9360313	0.6972051	0.6371366	0.3904162	0.9309795	0.02066838	0.05982639	0.0639687	69.38825	0.05475688	0.050822	0.050822	0.050822	0.050822	0.050822	0.050822	0.0742607	0.0742607	0.0742607	0.0742607	0.0742607	0.0742607	0.041584	0.041584	0.041584	0.041584	0.041584	0.041584	69.38825	1758.837	0.2567667	0.2390374	0.377747	0.383216	0.239037	0.3832158	0.7609626	0.3777467
400	-979.461	-169.114	-810.347	0.320934	0.726736	0.266293	0.683127	0.1343032	0.9133025	0.6831273	0.2662933	0.726736	0.3209341	0.07918844	0.05511474	0.08669752	69.38825	0.03899535	0.0477922	0.0477922	0.0477922	0.0477922	0.0477922	0.0477922	0.0575988	0.0575988	0.0575988	0.0575988	0.0575988	0.0575988	0.0612757	0.0612757	0.0612757	0.0612757	0.0612757	0.0612757	69.38825	1758.837	0.5896245	0.08462457	0.486007	0.429369	0.0846246	0.4293687	0.9153754	0.4860068
450	-980.75	-170.701	-810.049	0.78235	0.639362	0.0976057	0.757217	0.09583292	0.9462642	0.7572175	0.09760569	0.639362	0.7823504	0.03018126	0.06565165	0.05373575	69.38825	0.05188002	0.0105597	0.0105597	0.0105597	0.0105597	0.0105597	0.0105597	0.0846403	0.0846403	0.0846403	0.0846403	0.0846403	0.0846403	0.0714667	0.0714667	0.0714667	0.0714667	0.0714667	0.0714667	69.38825	1758.837	0.3149363	0.4884404	0.433276	0.078284	0.48844	0.07828404	0.5115596	0.4332756
