Iteration	Posterior	Likelihood	Prior	rf_simplex[1]	rf_simplex[2]	rf_simplex[3]	rf_simplex[4]	rf_simplex[5]	rf_simplex[6]	rf_simplex[7]	rf_simplex[8]	rf_simplex[9]	rf_simplex[10]	rf_simplex[11]	rf_simplex[12]	rf_simplex[13]	rf_simplex[14]	rf_simplex[15]	rf_simplex[16]	rf_simplex[17]	rf_simplex[18]	w_graph[1]	w_graph[2]	w_graph[3]	y_marginal	y_subdominant
0	-1007.7	-152.102	-855.599	0.0682097	0.0231869	0.0170565	0.0172366	0.0720884	0.0724174	0.0752878	0.0762796	0.0766399	0.077127	0.076757	0.075404	0.0184659	0.0717333	0.071923	0.072309	0.0171521	0.020726	0.0526316	0.105263	0.842105	0	0.1
50	-958.535	-149.086	-809.449	0.0330274	0.0199586	0.00403005	0.00414324	0.0359205	0.0354251	0.0848719	0.0816326	0.081224	0.0829827	0.0881062	0.0848323	0.0125693	0.0945846	0.0942865	0.0957183	0.0121434	0.0545433	0.00693583	0.0802823	0.912782	0	0.5088713
100	-958.48	-149.049	-809.43	0.0369096	0.0143369	0.00143973	0.00149995	0.0422328	0.0423001	0.0767559	0.078687	0.0777432	0.0793757	0.0814813	0.0810858	0.00612306	0.113645	0.113137	0.114423	0.00523043	0.0335939	0.00308259	0.0178551	0.979062	0	0.2651715
150	-960.231	-147.27	-812.961	0.082559	0.060605	0.0184545	0.0193766	0.0972158	0.0967198	0.049076	0.0511769	0.0521576	0.0532106	0.0519576	0.0485598	0.00963513	0.0846358	0.0856455	0.0869946	0.00936464	0.042655	0.00995706	0.0697368	0.920306	0	0.4884276
200	-958.561	-149.003	-809.559	0.0756797	0.0549428	0.00775018	0.00780146	0.083385	0.0822077	0.0741538	0.07965	0.0799589	0.0801956	0.0768945	0.0742679	0.0039432	0.060909	0.0610469	0.0611824	0.00393246	0.0320985	0.0257983	0.0111732	0.963028	0	0.5353659
250	-966.711	-155.415	-811.296	0.0513317	0.0344826	0.0184457	0.018623	0.0526623	0.0503007	0.0838379	0.0791152	0.0820613	0.0831747	0.0848226	0.0789539	0.0237835	0.0628465	0.0644434	0.0651734	0.0237249	0.0422168	0.17764	0.0890799	0.73328	0	0.5015912
300	-959.956	-149.242	-810.715	0.0471964	0.0202997	0.00745989	0.00777691	0.0527757	0.0528754	0.0800694	0.0789861	0.0784903	0.0810795	0.0844871	0.0825954	0.0171038	0.0863528	0.0860657	0.0879306	0.0154806	0.0329746	0.0105019	0.0949524	0.894546	0	0.2740024
350	-968.052	-158.112	-809.941	0.0397119	0.027927	0.0146959	0.0148706	0.040496	0.0371132	0.0729152	0.0635788	0.0660438	0.0669533	0.0737702	0.0658644	0.0444629	0.0845105	0.0864198	0.0872445	0.0441992	0.0692229	0.1278	0.223894	0.648306	0	0.6434528
400	-957.726	-148.264	-809.462	0.0392764	0.0315399	0.00493459	0.00497511	0.0425034	0.0411988	0.0654875	0.0611972	0.0612614	0.0622226	0.067541	0.0629381	0.0125142	0.114363	0.114418	0.115357	0.0125756	0.085696	0.0360752	0.00930153	0.954623	0	0.7022173
450	-962.342	-148.008	-814.334	0.0717722	0.0562188	0.0223332	0.0235455	0.0840623	0.0842112	0.0614158	0.061429	0.0634253	0.065374	0.0644287	0.0599936	0.0134983	0.0699473	0.071108	0.0725512	0.012937	0.0417489	0.00995442	0.107299	0.882747	0	0.5592919
500	-961.169	-148.867	-812.302	0.0402582	0.0154105	0.00448849	0.00467462	0.0442004	0.043992	0.0704883	0.0666451	0.0654767	0.0678541	0.0741398	0.072473	0.0200608	0.115648	0.11468	0.117234	0.0179923	0.0442838	0.00675885	0.0799464	0.913295	0	0.2785732
550	-958.093	-148.532	-809.561	0.0588847	0.0230517	0.00681513	0.0071185	0.0670958	0.0672299	0.0765345	0.0792357	0.0788543	0.0808367	0.0819864	0.0804813	0.00862908	0.0828557	0.082586	0.0842761	0.00813914	0.0253892	0.00450512	0.0679103	0.927585	0	0.2433532
600	-962.173	-152.242	-809.931	0.068194	0.0538251	0.0350713	0.0374309	0.0819527	0.0827179	0.0421658	0.0385903	0.0399208	0.0413065	0.0433313	0.0388357	0.038118	0.0893377	0.0901896	0.0913578	0.0342934	0.0533612	0.0107374	0.165662	0.8236	0	0.4755186
650	-957.868	-148.087	-809.781	0.101253	0.0855358	0.0218607	0.0231227	0.11857	0.118152	0.046504	0.0502806	0.053048	0.055101	0.0505295	0.0475077	0.00637748	0.057893	0.0598518	0.0615629	0.00641179	0.036438	0.00467682	0.0767999	0.918523	0	0.646509
700	-961.349	-151.185	-810.164	0.0406891	0.0382614	0.00448611	0.00450363	0.0407269	0.0389422	0.08605	0.0811447	0.0830132	0.0834839	0.0859208	0.0800615	0.00855318	0.0788066	0.0801174	0.0804489	0.00852594	0.0762644	0.0187706	0.0617445	0.919485	0	0.9837738
750	-957.355	-147.557	-809.798	0.122177	0.0871156	0.0278693	0.0280333	0.140435	0.138791	0.0349529	0.0427105	0.0439607	0.0427718	0.0361176	0.0337285	0.00438115	0.0641407	0.0651382	0.0640339	0.00424274	0.0194013	0.0247324	0.0122662	0.963001	0	0.33213
800	-960.41	-150.837	-809.573	0.081779	0.0784314	0.00937604	0.009558	0.0851611	0.0840902	0.0570063	0.0556145	0.0581147	0.0594585	0.0585125	0.0555341	0.00701421	0.0734152	0.074921	0.0757527	0.00705243	0.0692082	0.00382029	0.049344	0.946836	0	0.9604422
850	-959.891	-149.981	-809.911	0.0671977	0.0615224	0.0309369	0.0315099	0.0706326	0.0691992	0.0654735	0.0595773	0.0646041	0.0659889	0.0665971	0.0583316	0.0208115	0.0609336	0.0641713	0.0650896	0.0209318	0.0564909	0.0111367	0.237084	0.751779	0	0.9541295
900	-964.618	-153.338	-811.28	0.125665	0.0530937	0.0436648	0.0433757	0.134099	0.134142	0.0333331	0.0408458	0.042653	0.0397113	0.0327665	0.0307186	0.0151783	0.0688388	0.0700875	0.0666722	0.0126117	0.012543	0.030263	0.0670688	0.902668	0	0.06062819
950	-961.031	-150.832	-810.198	0.0560297	0.0290128	0.00245671	0.00248443	0.062714	0.0618179	0.0662484	0.0700032	0.069059	0.070129	0.0723106	0.0709543	0.0044421	0.10362	0.102652	0.103849	0.00466574	0.047551	0.0255485	0.00228955	0.972162	0	0.4273943
1000	-959.592	-149.083	-810.509	0.0309001	0.011516	0.00209521	0.00214568	0.0329739	0.0328142	0.0844915	0.0826612	0.081521	0.0830593	0.0870882	0.0857651	0.0104895	0.108529	0.107728	0.109047	0.00928016	0.0378943	0.0013141	0.0535891	0.945097	0	0.2949713
1050	-958.259	-148.597	-809.662	0.0400676	0.034102	0.00782794	0.00797216	0.0425313	0.0416981	0.0855555	0.0811461	0.0826642	0.0840275	0.0872498	0.0814409	0.0131104	0.0772614	0.0780682	0.0788632	0.0129762	0.0634373	0.0176515	0.0875208	0.894828	0	0.7986492
