Iteration	Posterior	Likelihood	Prior	biome_rates[1]	biome_rates[2]	biome_rates[3]	biome_rates[4]	birth	br_base	br_CW	br_TW	br_WC	br_WT	death	diversification	dr_base	endAge	rate_biome	rf_simplex[1]	rf_simplex[2]	rf_simplex[3]	rf_simplex[4]	rf_simplex[5]	rf_simplex[6]	rf_simplex[7]	rf_simplex[8]	rf_simplex[9]	rf_simplex[10]	rf_simplex[11]	rf_simplex[12]	rf_simplex[13]	rf_simplex[14]	rf_simplex[15]	rf_simplex[16]	rf_simplex[17]	rf_simplex[18]	root_age	tree_length	turnover	w_biome	w_graph[1]	w_graph[2]	w_graph[3]	w_land	w_not_biome	w_null
500	-979.105	-169.31	-809.795	0.978984	0.60248	0.38668	0.65993	0.0913906	0.9245514	0.6599298	0.3866803	0.6024801	0.978984	0.03750691	0.05388369	0.07544857	69.38825	0.03637641	0.0285235	0.0285235	0.0285235	0.0285235	0.0285235	0.0285235	0.0722149	0.0722149	0.0722149	0.0722149	0.0722149	0.0722149	0.0659283	0.0659283	0.0659283	0.0659283	0.0659283	0.0659283	69.38825	1758.837	0.4104022	0.2646327	0.481408	0.253959	0.264633	0.2539591	0.7353673	0.4814083
550	-979.36	-169.771	-809.589	0.135247	0.665455	0.269007	0.72485	0.1087771	0.9035749	0.7248501	0.2690073	0.6654552	0.1352469	0.04476766	0.06400944	0.09642507	69.38825	0.03854145	0.0848466	0.0848466	0.0848466	0.0848466	0.0848466	0.0848466	0.0426577	0.0426577	0.0426577	0.0426577	0.0426577	0.0426577	0.0391623	0.0391623	0.0391623	0.0391623	0.0391623	0.0391623	69.38825	1758.837	0.4115541	0.6721752	0.246529	0.0812957	0.672175	0.08129574	0.3278248	0.2465291
600	-978.061	-168.934	-809.127	0.442324	0.757784	0.369176	0.795346	0.1053998	0.9240103	0.7953458	0.3691762	0.7577837	0.4423244	0.04978243	0.05561739	0.07598971	69.38825	0.03567607	0.0499048	0.0499048	0.0499048	0.0499048	0.0499048	0.0499048	0.0597929	0.0597929	0.0597929	0.0597929	0.0597929	0.0597929	0.056969	0.056969	0.056969	0.056969	0.056969	0.056969	69.38825	1758.837	0.4723199	0.9725588	0.00967448	0.0177667	0.972559	0.0177667	0.02744118	0.009674475
650	-978.542	-169.251	-809.291	0.925717	0.670875	0.259021	0.902624	0.09971166	0.9200473	0.9026236	0.2590214	0.6708749	0.9257167	0.03756124	0.06215042	0.07995267	69.38825	0.0333455	0.0230515	0.0230515	0.0230515	0.0230515	0.0230515	0.0230515	0.0823836	0.0823836	0.0823836	0.0823836	0.0823836	0.0823836	0.0612316	0.0612316	0.0612316	0.0612316	0.0612316	0.0612316	69.38825	1758.837	0.3766986	0.07846022	0.337651	0.583889	0.0784602	0.5838892	0.9215398	0.3376505
700	-981.426	-170.716	-810.71	0.418537	0.669195	0.399921	0.47877	0.1410687	0.9032191	0.47877	0.3999208	0.6691947	0.4185368	0.08685775	0.05421095	0.09678093	69.38825	0.03400845	0.0474922	0.0474922	0.0474922	0.0474922	0.0474922	0.0474922	0.0497029	0.0497029	0.0497029	0.0497029	0.0497029	0.0497029	0.0694716	0.0694716	0.0694716	0.0694716	0.0694716	0.0694716	69.38825	1758.837	0.6157124	0.1942527	0.371535	0.434213	0.194253	0.4342127	0.8057473	0.3715346
750	-979.878	-170.18	-809.698	0.947205	0.385056	0.299998	0.489016	0.1062338	0.9467849	0.4890159	0.2999983	0.3850564	0.9472048	0.04801392	0.05821987	0.0532151	69.38825	0.06117199	0.0250871	0.0250871	0.0250871	0.0250871	0.0250871	0.0250871	0.0792093	0.0792093	0.0792093	0.0792093	0.0792093	0.0792093	0.0623702	0.0623702	0.0623702	0.0623702	0.0623702	0.0623702	69.38825	1758.837	0.4519647	0.2544047	0.430121	0.315474	0.254405	0.3154741	0.7455953	0.4301213
800	-979.543	-169.879	-809.664	0.693319	0.505609	0.387644	0.829942	0.09837207	0.9372222	0.8299425	0.3876437	0.5056093	0.6933192	0.03343076	0.06494131	0.06277784	69.38825	0.03977265	0.0429758	0.0429758	0.0429758	0.0429758	0.0429758	0.0429758	0.0768643	0.0768643	0.0768643	0.0768643	0.0768643	0.0768643	0.0468265	0.0468265	0.0468265	0.0468265	0.0468265	0.0468265	69.38825	1758.837	0.33984	0.3895594	0.00924984	0.601191	0.389559	0.6011908	0.6104406	0.009249843
850	-982.806	-170.037	-812.77	0.126721	0.750251	0.488008	0.960579	0.1003909	0.8868661	0.9605787	0.4880079	0.7502513	0.1267212	0.01467861	0.08571225	0.1131339	69.38825	0.02591071	0.113961	0.113961	0.113961	0.113961	0.113961	0.113961	0.0295924	0.0295924	0.0295924	0.0295924	0.0295924	0.0295924	0.0231129	0.0231129	0.0231129	0.0231129	0.0231129	0.0231129	69.38825	1758.837	0.1462146	0.334213	0.108481	0.557306	0.334213	0.5573058	0.665787	0.1084812
900	-984.232	-175.473	-808.759	0.998846	0.566611	0.846111	0.991725	0.1232734	0.8913584	0.9917248	0.8461109	0.5666114	0.9988461	0.06745659	0.05581682	0.1086416	69.38825	0.0157248	0.0583773	0.0583773	0.0583773	0.0583773	0.0583773	0.0583773	0.0689153	0.0689153	0.0689153	0.0689153	0.0689153	0.0689153	0.039374	0.039374	0.039374	0.039374	0.039374	0.039374	69.38825	1758.837	0.5472112	0.2941264	0.0178417	0.688032	0.294126	0.688032	0.7058736	0.01784167
950	-981.232	-169.585	-811.647	0.366186	0.887945	0.295947	0.932991	0.1062794	0.9442526	0.9329906	0.2959472	0.8879452	0.3661856	0.02746904	0.07881031	0.05574737	69.38825	0.03773934	0.0488053	0.0488053	0.0488053	0.0488053	0.0488053	0.0488053	0.0603885	0.0603885	0.0603885	0.0603885	0.0603885	0.0603885	0.0574729	0.0574729	0.0574729	0.0574729	0.0574729	0.0574729	69.38825	1758.837	0.2584608	0.08982307	0.218862	0.691315	0.0898231	0.6913151	0.9101769	0.2188619
1000	-980.821	-170.449	-810.372	0.549741	0.582785	0.323619	0.812537	0.08459383	0.8808916	0.8125367	0.3236193	0.5827845	0.5497414	0.01680023	0.0677936	0.1191084	69.38825	0.0276784	0.0425482	0.0425482	0.0425482	0.0425482	0.0425482	0.0425482	0.0722778	0.0722778	0.0722778	0.0722778	0.0722778	0.0722778	0.0518406	0.0518406	0.0518406	0.0518406	0.0518406	0.0518406	69.38825	1758.837	0.1985987	0.3355405	0.0214568	0.643003	0.33554	0.6430027	0.6644595	0.02145682
1050	-984.603	-174.649	-809.954	0.177837	0.638002	0.320713	0.206367	0.1247988	0.9349538	0.2063674	0.3207134	0.638002	0.1778368	0.07156294	0.05323585	0.06504625	69.38825	0.05161887	0.0509871	0.0509871	0.0509871	0.0509871	0.0509871	0.0509871	0.0282726	0.0282726	0.0282726	0.0282726	0.0282726	0.0282726	0.087407	0.087407	0.087407	0.087407	0.087407	0.087407	69.38825	1758.837	0.5734266	0.3371292	0.172216	0.490655	0.337129	0.4906546	0.6628708	0.1722162
