Iteration	Posterior	Likelihood	Prior	rf_simplex[1]	rf_simplex[2]	rf_simplex[3]	rf_simplex[4]	rf_simplex[5]	rf_simplex[6]	rf_simplex[7]	rf_simplex[8]	rf_simplex[9]	rf_simplex[10]	rf_simplex[11]	rf_simplex[12]	rf_simplex[13]	rf_simplex[14]	rf_simplex[15]	rf_simplex[16]	rf_simplex[17]	rf_simplex[18]	w_graph[1]	w_graph[2]	w_graph[3]	y_marginal	y_subdominant
1000	-958.71	-147.997	-810.713	0.06317	0.058276	0.0589527	0.0619678	0.0741549	0.123326	0.0980545	0.110861	0.113268	0.114435	0.0200634	0.022616	0.0116822	0.00964943	0.0098211	0.00995981	0.0190177	0.0207234	0.0330065	0.0141066	0.952887	0	0.6948604
1050	-961.376	-148.719	-812.657	0.0731918	0.0680009	0.0686659	0.0710113	0.0820215	0.118324	0.0782044	0.0906336	0.0926045	0.0930282	0.0169426	0.0182786	0.0199458	0.0170372	0.0173312	0.0175702	0.0271558	0.030052	0.0295233	0.0526678	0.917809	0	0.6867632
1100	-956.183	-145.974	-810.209	0.0476443	0.043355	0.0437956	0.0450123	0.053381	0.118875	0.126871	0.137915	0.140279	0.141218	0.0103072	0.0136405	0.0103717	0.00880077	0.00894279	0.00902166	0.0186225	0.0219484	0.014485	0.0074595	0.978055	0	0.7703586
1150	-960.351	-149.131	-811.22	0.0803221	0.0648666	0.0646619	0.066336	0.0787831	0.140678	0.0689086	0.120164	0.123147	0.124506	0.0104309	0.0141962	0.00746395	0.0052071	0.00532555	0.00538476	0.0088684	0.01075	0.0261474	0.0121867	0.961666	0	0.3626514
1200	-956.34	-146.641	-809.699	0.0667599	0.0544358	0.0545934	0.0565706	0.0700734	0.133296	0.0860136	0.123941	0.127478	0.129242	0.0124032	0.0166761	0.0116598	0.00835558	0.00856308	0.0086693	0.0145807	0.0166878	0.0308352	0.00187526	0.96729	0	0.458159
1250	-958.338	-148.437	-809.901	0.0447402	0.0401431	0.0406287	0.0428343	0.0591408	0.0862159	0.0993591	0.110859	0.112768	0.114175	0.0297922	0.0346587	0.0273392	0.0236415	0.0239606	0.0244885	0.0394647	0.0457916	0.0452869	0.0744821	0.880231	0	0.7171046
1300	-957.975	-147.251	-810.724	0.056593	0.0441138	0.0436648	0.0432927	0.0493472	0.0490571	0.131196	0.167349	0.170912	0.169556	0.012694	0.0077297	0.0111909	0.00725925	0.00740484	0.00737195	0.0130978	0.00817049	0.00153533	0.0339554	0.964509	0	0.4768663
1350	-956.79	-147.384	-809.406	0.0658861	0.0599466	0.0602532	0.0622446	0.0711919	0.13205	0.100603	0.116776	0.119477	0.120056	0.0158849	0.0178556	0.00788821	0.00598152	0.00610649	0.00616732	0.0149467	0.0166849	0.0196386	0.0120943	0.968267	0	0.6288854
1400	-959.938	-147.245	-812.694	0.0725459	0.0627986	0.0633066	0.0631922	0.067476	0.120149	0.059818	0.0883952	0.0911912	0.091034	0.00308034	0.0041338	0.0401967	0.0344045	0.035102	0.0348623	0.0341126	0.0342014	0.00996293	0.00734365	0.982693	0	0.5041232
1450	-961.428	-151.569	-809.859	0.00612554	0.00613913	0.00620217	0.00661701	0.00914508	0.0122675	0.0162241	0.0163887	0.016471	0.0167862	0.00436338	0.00483583	0.144817	0.144878	0.144946	0.145362	0.148868	0.149563	0.0812734	0.0258275	0.892899	0	0.9926968
1500	-958.148	-148.545	-809.603	0.0280938	0.0278931	0.0281929	0.029736	0.0379963	0.0577138	0.0636946	0.0649608	0.0654296	0.0663984	0.0116717	0.013613	0.0794626	0.0790275	0.0792746	0.0803844	0.0911204	0.0953365	0.0405619	0.0370127	0.922425	0	0.9656183
1550	-958.424	-148.582	-809.842	0.105079	0.0963972	0.0959926	0.0981507	0.1064	0.135207	0.0401745	0.0670153	0.0688433	0.0692484	0.0098986	0.0102474	0.0170707	0.0127335	0.013024	0.013127	0.0201953	0.0211954	0.0351885	0.0303863	0.934425	0	0.3799001
1600	-959.418	-148.729	-810.689	0.0382608	0.03511	0.0355983	0.0382251	0.0519425	0.0763912	0.0945536	0.103492	0.105243	0.106726	0.0306321	0.03352	0.0380842	0.0335907	0.0339557	0.0345666	0.0533528	0.0567555	0.0599487	0.0320785	0.907973	0	0.7399751
1650	-962.94	-151.67	-811.271	0.0231509	0.0231615	0.0233546	0.0250323	0.0459166	0.0619528	0.122348	0.124486	0.125265	0.129273	0.0387461	0.0459037	0.0250864	0.0250926	0.025231	0.0260353	0.051285	0.0586783	0.0933237	0.0265379	0.880138	0	0.9812704
1700	-960.413	-148.889	-811.525	0.0409922	0.0364557	0.0367837	0.0374465	0.045861	0.0956865	0.151704	0.162554	0.164838	0.16518	0.0116281	0.0160005	0.00460192	0.00389707	0.00395051	0.00396994	0.00803869	0.0104121	0.0078002	0.0233166	0.968883	0	0.7811516
1750	-961.662	-151.765	-809.897	0.0244755	0.0197133	0.0196759	0.0211032	0.03224	0.0420196	0.0909461	0.108277	0.10992	0.110932	0.0469354	0.0487784	0.0537116	0.0407258	0.0411363	0.0418232	0.0717177	0.0758687	0.0829779	0.0691903	0.847832	0	0.4879086
1800	-958.734	-147.458	-811.276	0.085745	0.0708382	0.0718434	0.0706606	0.0727478	0.0230625	0.116384	0.155602	0.160022	0.158332	0.00229924	0.000693063	0.00274362	0.0021125	0.00217173	0.00214719	0.00205527	0.000539549	0.00091646	0.0100205	0.989063	0	0.5691797
1850	-960.876	-150.813	-810.063	0.0491697	0.0401578	0.0397514	0.0411263	0.0537495	0.0643485	0.0889484	0.113345	0.1147	0.11409	0.0441825	0.0414663	0.0348414	0.0253102	0.0255474	0.025735	0.0413554	0.0421744	0.00959991	0.198095	0.792305	0	0.3984322
1900	-959.423	-149.43	-809.993	0.0581419	0.0572558	0.0577531	0.0595116	0.0660579	0.0845902	0.0567067	0.058993	0.0595458	0.0597587	0.00979271	0.00991743	0.0568277	0.0553017	0.0556168	0.0562818	0.0679406	0.0700066	0.0314451	0.0533254	0.91523	0	0.9141052
1950	-957.44	-146.962	-810.477	0.0390969	0.0381567	0.0385545	0.0403604	0.0519182	0.101198	0.121265	0.124672	0.125767	0.127429	0.0146929	0.0199118	0.0200703	0.0193865	0.0195392	0.0199038	0.0345339	0.0435439	0.0223705	0.0253712	0.952258	0	0.9338007
2000	-957.075	-147.726	-809.349	0.058485	0.053921	0.0542729	0.0548211	0.0616443	0.0871721	0.132734	0.142566	0.14455	0.143918	0.0123697	0.0113518	0.00640373	0.00552779	0.00560117	0.00561046	0.009769	0.00928119	0.0031109	0.0404714	0.956418	0	0.7898443
2050	-957.922	-147.228	-810.694	0.114115	0.113447	0.11374	0.114586	0.117473	0.0421708	0.0887116	0.0898677	0.0901909	0.0897937	0.00560078	0.00152436	0.00299093	0.00291198	0.00292226	0.0029199	0.00548556	0.00154937	0.00156637	0.0290828	0.969351	0	0.9594645
