Iteration	Posterior	Likelihood	Prior	rf_simplex[1]	rf_simplex[2]	rf_simplex[3]	rf_simplex[4]	rf_simplex[5]	rf_simplex[6]	rf_simplex[7]	rf_simplex[8]	rf_simplex[9]	rf_simplex[10]	rf_simplex[11]	rf_simplex[12]	rf_simplex[13]	rf_simplex[14]	rf_simplex[15]	rf_simplex[16]	rf_simplex[17]	rf_simplex[18]	w_graph[1]	w_graph[2]	w_graph[3]	y_marginal	y_subdominant
1000	-957.098	-147.535	-809.563	0.0637063	0.0246506	0.00240633	0.00244095	0.0723789	0.0721279	0.0764357	0.083288	0.0824018	0.0829841	0.0829047	0.0822203	0.00254059	0.0813218	0.0807603	0.0811545	0.00253566	0.0237417	0.0104575	0.00979839	0.979744	0	0.2745208
1050	-960.255	-150.881	-809.374	0.0731521	0.0657014	0.00798369	0.00807319	0.0750138	0.0725324	0.0680811	0.0675585	0.0700424	0.0710938	0.068942	0.0649283	0.00745917	0.0700556	0.0715373	0.0722187	0.00740596	0.0582205	0.024462	0.040885	0.934653	0	0.8611815
1100	-956.242	-146.151	-810.091	0.083016	0.0632165	0.00629625	0.00685826	0.104832	0.10498	0.0567417	0.062448	0.0620621	0.0634899	0.0625807	0.0614261	0.00267996	0.0733649	0.0731296	0.0741742	0.00255149	0.0361531	0.00131656	0.0204229	0.978261	0	0.4893234
1150	-961.047	-150.86	-810.188	0.0239644	0.0108912	0.0053263	0.00551517	0.0253223	0.0249733	0.0782627	0.0664996	0.0653118	0.0677149	0.0794719	0.0759062	0.0423921	0.109604	0.108664	0.110808	0.0389237	0.0604479	0.00919856	0.193777	0.797024	0	0.3266327
1200	-962.516	-151.175	-811.341	0.0598317	0.0531615	0.00824809	0.00828627	0.0645463	0.0638346	0.074288	0.0742461	0.074858	0.0754407	0.0751947	0.0721517	0.00501529	0.0766673	0.0769715	0.0773113	0.00499764	0.0549494	0.0233202	0.00543407	0.971246	0	0.7220929
1250	-965.009	-153.11	-811.899	0.0462785	0.0254961	0.00985976	0.0104484	0.0540962	0.0536989	0.0477772	0.0435703	0.0432586	0.045476	0.0514883	0.0487042	0.0442715	0.12194	0.121677	0.123904	0.0403773	0.0676775	0.0181642	0.100779	0.881057	0	0.3753163
1300	-958.839	-147.895	-810.944	0.10692	0.0957067	0.00375342	0.00379278	0.113709	0.112913	0.0505059	0.0548727	0.0544688	0.0542725	0.0515576	0.0503358	0.00113147	0.0667869	0.0664358	0.0662315	0.00111013	0.0454962	0.0017506	0.01183	0.986419	0	0.7383464
1350	-958.884	-148.346	-810.537	0.0609181	0.0370561	0.0118641	0.0123952	0.069298	0.0686995	0.0655603	0.0652504	0.0657338	0.0675608	0.0696705	0.066122	0.0136591	0.0881067	0.0885529	0.0905751	0.0135614	0.0454161	0.00448553	0.11411	0.881405	0	0.4413964
1400	-957.234	-147.876	-809.358	0.115348	0.111102	0.0203067	0.0206974	0.12355	0.123143	0.0373739	0.0380259	0.03965	0.0402677	0.0377925	0.0355112	0.00391806	0.0652601	0.0663862	0.0668798	0.00379108	0.050997	0.00632631	0.0217651	0.971909	0	0.8456022
1450	-958.496	-147.8	-810.697	0.041091	0.0260104	0.00123165	0.00130801	0.04893	0.0488413	0.0530222	0.0557507	0.0549907	0.0556207	0.0568241	0.0560849	0.00416608	0.142829	0.14206	0.142791	0.00365751	0.0647897	8.9406e-05	0.0131691	0.986741	0	0.4417946
1500	-961.524	-151.801	-809.723	0.0895303	0.0867832	0.0158737	0.0164289	0.0970235	0.0970717	0.0564375	0.055429	0.0583083	0.0606401	0.0589278	0.0559142	0.0063554	0.0597979	0.0609257	0.0618658	0.00641457	0.0562724	0.00214329	0.0483645	0.949492	0	0.9584086
1550	-961.986	-152.106	-809.88	0.108773	0.0316237	0.0154517	0.0160402	0.128642	0.129132	0.0555662	0.0666145	0.06826	0.0681055	0.0623034	0.0609352	0.00533371	0.0555712	0.056529	0.0565269	0.00507665	0.00951598	0.00114655	0.078371	0.920482	0	0.1157943
1600	-960.65	-146.767	-813.883	0.0411514	0.02612	0.00302126	0.00309505	0.0455301	0.0450764	0.0803173	0.0810954	0.0805269	0.0819907	0.084673	0.0826459	0.00648667	0.0930768	0.0926708	0.0938459	0.0063902	0.0522863	0.011272	0.0337763	0.954952	0	0.5252667
